"id","code","type_prise_air","q4paconv","est_efface"
"1","TV014_001","Fenêtres sans joint et cheminée sans trappe de fermeture","2.50","0"
"2","TV014_002","Fenêtres sans joint ou cheminées sans trappe de fermeture","2.00","0"
"3","TV014_003","Autres cas","1.70","0"
