"id","code","type_distribution","isole","rd","est_efface","simu_ordre","simulateur","simu_type_distribution_id"
"1","TV029_001","Pas de réseau de distribution","NULL","1.00","0","NULL","1","1"
"2","TV029_002","Réseau aéraulique collectif","1","0.85","0","NULL","0","2"
"3","TV029_003","Réseau aéraulique individuel","1","0.85","0","NULL","1","2"
"4","TV029_004","Réseau collectif eau chaude HT° (?65°C)","1","0.87","0","NULL","0","3"
"5","TV029_005","Réseau collectif eau chaude moyenne ou basse température (<65°C)","1","0.90","0","NULL","0","3"
"6","TV029_006","Réseau individuel eau chaude moyenne ou basse température (<65°C)","1","0.95","0","NULL","1","3"
"7","TV029_007","Réseau individuel eau chaude haute température (?65°C)","1","0.92","0","NULL","1","3"
"8","TV029_008","Réseau aéraulique collectif","0","0.80","0","NULL","0","2"
"9","TV029_009","Réseau aéraulique individuel","0","0.80","0","NULL","1","2"
"10","TV029_010","Réseau collectif eau chaude HT° (?65°C)","0","0.85","0","NULL","0","3"
"11","TV029_011","Réseau collectif eau chaude moyenne ou basse température (<65°C)","0","0.87","0","NULL","0","3"
"12","TV029_012","Réseau individuel eau chaude moyenne ou basse température (<65°C)","0","0.91","0","NULL","1","3"
"13","TV029_013","Réseau individuel eau chaude haute température (?65°C)","0","0.88","0","NULL","1","3"
"14","TV029_014","Distributions par fluides frigorigènes","NULL","1.00","0","NULL","1","2"
"15","TV029_015","Générateur à combustion en l'absence de DPE à l'immeuble","NULL","0.87","0","NULL","0","NULL"
