"id","code","tv025_type_batiment_id","tv025_intermittence_type_installation_id","tv025_intermittence_type_ch_id","tv025_intermittence_type_regulation_id","tv025_type_emetteur_id","tv025_intermittence_inertie_id","tv025_equipement_intermittence_id","tv025_intermittence_comptage_individuel_id","I0","est_efface"
"60","TV025_060","2","1","2","2","3","NULL","1","NULL","0.89","0"
"61","TV025_061","2","1","2","2","3","NULL","2","NULL","0.88","0"
"62","TV025_062","2","1","2","2","3","NULL","5","NULL","0.86","0"
"63","TV025_063","2","1","2","2","4","NULL","3","NULL","0.90","0"
"64","TV025_064","2","1","2","2","4","NULL","1","NULL","0.89","0"
"65","TV025_065","2","1","2","2","4","NULL","2","NULL","0.88","0"
"66","TV025_066","2","1","2","2","4","NULL","NULL","NULL","0.86","0"
"67","TV025_067","2","1","2","2","2","NULL","3","NULL","0.95","0"
"68","TV025_068","2","1","2","2","2","NULL","1","NULL","0.94","0"
"69","TV025_069","2","1","2","2","2","NULL","2","NULL","0.93","0"
"70","TV025_070","2","1","2","2","2","NULL","5","NULL","0.91","0"
"71","TV025_071","2","1","1","2","3","NULL","3","NULL","0.91","0"
"72","TV025_072","2","1","1","2","3","NULL","1","NULL","0.90","0"
"73","TV025_073","2","1","1","2","3","NULL","2","NULL","0.89","0"
"74","TV025_074","2","1","1","2","3","NULL","5","NULL","0.87","0"
"75","TV025_075","2","1","1","2","4","NULL","3","NULL","0.93","0"
"76","TV025_076","2","1","1","2","4","NULL","1","NULL","0.92","0"
"77","TV025_077","2","1","1","2","4","NULL","2","NULL","0.91","0"
"78","TV025_078","2","1","1","2","4","NULL","5","NULL","0.89","0"
"79","TV025_079","2","1","1","2","2","NULL","3","NULL","0.95","0"
"80","TV025_080","2","1","1","2","2","NULL","1","NULL","0.94","0"
"81","TV025_081","2","1","1","2","2","NULL","2","NULL","0.93","0"
"82","TV025_082","2","1","1","2","2","NULL","5","NULL","0.91","0"
"83","TV025_083","2","1","1","1","3","NULL","3","NULL","0.95","0"
"84","TV025_084","2","1","1","1","3","NULL","1","NULL","0.94","0"
"85","TV025_085","2","1","1","1","3","NULL","2","NULL","0.95","0"
"86","TV025_086","2","1","1","1","4","NULL","3","NULL","0.96","0"
"87","TV025_087","2","1","1","1","4","NULL","1","NULL","0.95","0"
"88","TV025_088","2","1","1","1","4","NULL","2","NULL","0.94","0"
"89","TV025_089","2","1","1","1","2","NULL","3","NULL","0.97","0"
"90","TV025_090","2","1","1","1","2","NULL","1","NULL","0.96","0"
"91","TV025_091","2","1","1","1","2","NULL","2","NULL","0.95","0"
"92","TV025_092","3","2","1","2","3","NULL","3","1","1.01","0"
"93","TV025_093","3","2","1","2","3","NULL","3","2","0.99","0"
"94","TV025_094","3","2","1","2","3","NULL","4","1","0.93","0"
"95","TV025_095","3","2","1","2","3","NULL","4","2","0.91","0"
"96","TV025_096","3","2","1","2","4","NULL","3","1","1.03","0"
"97","TV025_097","3","2","1","2","4","NULL","3","2","1.01","0"
