"id","code","tv004_umur0_materiaux_id","epaisseur","umur","est_efface","simu_ordre","simulateur"
"1","TV004_001","1","Sans objet","2.00","0","NULL","1"
"2","TV004_002","2","20 et -","3.20","0","NULL","1"
"3","TV004_003","2","25","2.85","0","NULL","1"
"4","TV004_004","2","30","2.65","0","NULL","1"
"5","TV004_005","2","35","2.45","0","NULL","1"
"6","TV004_006","2","40","2.30","0","NULL","1"
"7","TV004_007","2","45","2.15","0","NULL","1"
"8","TV004_008","2","50","2.05","0","NULL","1"
"9","TV004_009","2","55","1.90","0","NULL","1"
"10","TV004_010","2","60","1.80","0","NULL","1"
"11","TV004_011","2","65","1.75","0","NULL","1"
"12","TV004_012","2","70","1.65","0","NULL","1"
"13","TV004_013","2","75","1.55","0","NULL","1"
"14","TV004_014","2","80","1.50","0","NULL","1"
"15","TV004_015","3","50","1.90","0","NULL","1"
"16","TV004_016","3","55","1.75","0","NULL","1"
"17","TV004_017","3","60","1.60","0","NULL","1"
"18","TV004_018","3","65","1.50","0","NULL","1"
"19","TV004_019","3","70","1.45","0","NULL","1"
"20","TV004_020","3","75","1.30","0","NULL","1"
"21","TV004_021","3","80","1.25","0","NULL","1"
"22","TV004_022","4","40 et -","1.75","0","NULL","1"
"23","TV004_023","4","45","1.65","0","NULL","1"
"24","TV004_024","4","50","1.55","0","NULL","1"
"25","TV004_025","4","55","1.45","0","NULL","1"
"26","TV004_026","4","60","1.35","0","NULL","1"
"27","TV004_027","4","65","1.25","0","NULL","1"
"28","TV004_028","4","70","1.20","0","NULL","1"
"29","TV004_029","4","75","1.15","0","NULL","1"
"30","TV004_030","4","80","1.10","0","NULL","1"
"31","TV004_031","5","8 et -","3.00","0","NULL","1"
"32","TV004_032","5","10","2.70","0","NULL","1"
"33","TV004_033","5","13","2.35","0","NULL","1"
"34","TV004_034","5","18","1.98","0","NULL","1"
"35","TV004_035","5","24","1.65","0","NULL","1"
"36","TV004_036","5","32","1.35","0","NULL","1"
"37","TV004_037","6","Sans objet","1.70","0","NULL","1"
"38","TV004_038","7","10 et -","1.60","0","NULL","1"
"39","TV004_039","7","15","1.20","0","NULL","1"
"40","TV004_040","7","20","0.95","0","NULL","1"
"41","TV004_041","7","25","0.80","0","NULL","1"
"42","TV004_042","8","9 et -","3.90","0","NULL","1"
"43","TV004_043","8","12","3.45","0","NULL","1"
"44","TV004_044","8","15","3.05","0","NULL","1"
"45","TV004_045","8","19","2.75","0","NULL","1"
"46","TV004_046","8","23","2.50","0","NULL","1"
"47","TV004_047","8","28","2.25","0","NULL","1"
"48","TV004_048","8","34","2.00","0","NULL","1"
"49","TV004_049","8","45","1.65","0","NULL","1"
"50","TV004_050","8","55","1.45","0","NULL","1"
"51","TV004_051","8","60","1.35","0","NULL","1"
"52","TV004_052","8","70","1.20","0","NULL","1"
"53","TV004_053","9","20 et -","2.00","0","NULL","1"
"54","TV004_054","9","25","1.85","0","NULL","1"
"55","TV004_055","9","30","1.65","0","NULL","1"
"56","TV004_056","9","35","1.55","0","NULL","1"
"57","TV004_057","9","45","1.35","0","NULL","1"
"58","TV004_058","9","50","1.25","0","NULL","1"
"59","TV004_059","9","60","1.20","0","NULL","1"
"60","TV004_060","10","15 et -","2.15","0","NULL","1"
"61","TV004_061","10","18","2.05","0","NULL","1"
"62","TV004_062","10","20","2.00","0","NULL","1"
"63","TV004_063","10","23","1.85","0","NULL","1"
"64","TV004_064","10","25","1.70","0","NULL","1"
"65","TV004_065","10","28","1.68","0","NULL","1"
"66","TV004_066","10","33","1.65","0","NULL","1"
"67","TV004_067","10","38","1.55","0","NULL","1"
"68","TV004_068","10","43","1.40","0","NULL","1"
"69","TV004_069","11","20 et -","2.90","0","NULL","1"
"70","TV004_070","11","23","2.75","0","NULL","1"
"71","TV004_071","11","25","2.60","0","NULL","1"
"72","TV004_072","11","28","2.50","0","NULL","1"
"73","TV004_073","11","30","2.40","0","NULL","1"
"74","TV004_074","11","33","2.30","0","NULL","1"
"75","TV004_075","11","35","2.20","0","NULL","1"
"76","TV004_076","11","38","2.10","0","NULL","1"
"77","TV004_077","11","40","2.05","0","NULL","1"
"78","TV004_078","12","20 et -","2.80","0","NULL","1"
"79","TV004_079","12","23","2.65","0","NULL","1"
