,Code,Type de liaison,Isolation Mur,Isolation Plancher bas,Largeur du dormant,Type de pose,Retour d'isolation,K
91,TV013_092,Menuiserie / Mur,ITE,,10.0,Tunnel,Avec,0.15
92,TV013_093,Menuiserie / Mur,ITE,,5.0,Nu intérieur,Avec,0.25
93,TV013_094,Menuiserie / Mur,ITE,,10.0,Nu intérieur,Avec,0.2
94,TV013_095,Menuiserie / Mur,ITE,,5.0,Nu extérieur,Sans,0.0
95,TV013_096,Menuiserie / Mur,ITE,,10.0,Nu extérieur,Sans,0.0
96,TV013_097,Menuiserie / Mur,ITE,,5.0,Tunnel,Sans,0.45
97,TV013_098,Menuiserie / Mur,ITE,,10.0,Tunnel,Sans,0.4
98,TV013_099,Menuiserie / Mur,ITE,,5.0,Nu intérieur,Sans,0.9
99,TV013_100,Menuiserie / Mur,ITE,,10.0,Nu intérieur,Sans,0.8
100,TV013_101,Menuiserie / Mur,ITR,,,,,0.2
101,TV013_102,Menuiserie / Mur,ITI+ITE,,5.0,Nu extérieur,Avec,0.0
102,TV013_103,Menuiserie / Mur,ITI+ITE,,10.0,Nu extérieur,Avec,0.0
103,TV013_104,Menuiserie / Mur,ITI+ITE,,5.0,Tunnel,Avec,0.16
104,TV013_105,Menuiserie / Mur,ITI+ITE,,10.0,Tunnel,Avec,0.13
105,TV013_106,Menuiserie / Mur,ITI+ITE,,5.0,Nu intérieur,Avec,0.0
106,TV013_107,Menuiserie / Mur,ITI+ITE,,10.0,Nu intérieur,Avec,0.0
107,TV013_108,Menuiserie / Mur,ITI+ITE,,5.0,Nu extérieur,Sans,0.0
108,TV013_109,Menuiserie / Mur,ITI+ITE,,10.0,Nu extérieur,Sans,0.0
109,TV013_110,Menuiserie / Mur,ITI+ITE,,5.0,Tunnel,Sans,0.31
110,TV013_111,Menuiserie / Mur,ITI+ITE,,10.0,Tunnel,Sans,0.19
111,TV013_112,Menuiserie / Mur,ITI+ITE,,5.0,Nu intérieur,Sans,0.0
112,TV013_113,Menuiserie / Mur,ITI+ITE,,10.0,Nu intérieur,Sans,0.0
113,TV013_114,Menuiserie / Mur,ITI+ITR,,5.0,Nu extérieur,Avec,0.2
114,TV013_115,Menuiserie / Mur,ITI+ITR,,10.0,Nu extérieur,Avec,0.18
115,TV013_116,Menuiserie / Mur,ITI+ITR,,5.0,Tunnel,Avec,0.16
116,TV013_117,Menuiserie / Mur,ITI+ITR,,10.0,Tunnel,Avec,0.13
117,TV013_118,Menuiserie / Mur,ITI+ITR,,5.0,Nu intérieur,Avec,0.0
118,TV013_119,Menuiserie / Mur,ITI+ITR,,10.0,Nu intérieur,Avec,0.0
119,TV013_120,Menuiserie / Mur,ITI+ITR,,5.0,Nu extérieur,Sans,0.2
120,TV013_121,Menuiserie / Mur,ITI+ITR,,10.0,Nu extérieur,Sans,0.2
121,TV013_122,Menuiserie / Mur,ITI+ITR,,5.0,Tunnel,Sans,0.2
122,TV013_123,Menuiserie / Mur,ITI+ITR,,10.0,Tunnel,Sans,0.19
123,TV013_124,Menuiserie / Mur,ITI+ITR,,5.0,Nu intérieur,Sans,0.0
124,TV013_125,Menuiserie / Mur,ITI+ITR,,10.0,Nu intérieur,Sans,0.0
125,TV013_126,Menuiserie / Mur,ITE+ITR,,5.0,Nu extérieur,Avec,0.0
