,Code,Type de bâtiment,Type d'installation,Type de chauffage,Type de régulation,Type d'émetteur,Inertie,Equipement d'intermittence,Comptage individuelle,I0
34,TV025_035,Maison individuelle,Chauffage Individuelle,Central,Avec régulation pièce par pièce,Planchers chauffant,Légère ou Moyenne,Central avec minimum de température,,0.88
35,TV025_036,Maison individuelle,Chauffage Individuelle,Central,Avec régulation pièce par pièce,Planchers chauffant,Légère ou Moyenne,Par pièce avec minimum de température,,0.86
36,TV025_037,Maison individuelle,Chauffage Individuelle,Central,Avec régulation pièce par pièce,Planchers chauffant,Lourde ou Très Lourde,Absent,,0.92
37,TV025_038,Maison individuelle,Chauffage Individuelle,Central,Avec régulation pièce par pièce,Planchers chauffant,Lourde ou Très Lourde,Central sans minimum de température,,0.91
38,TV025_039,Maison individuelle,Chauffage Individuelle,Central,Avec régulation pièce par pièce,Planchers chauffant,Lourde ou Très Lourde,Central avec minimum de température,,0.9
39,TV025_040,Maison individuelle,Chauffage Individuelle,Central,Avec régulation pièce par pièce,Planchers chauffant,Lourde ou Très Lourde,Par pièce avec minimum de température,,0.88
40,TV025_041,Maison individuelle,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Air soufflé,Légère ou Moyenne,Absent,,0.9
41,TV025_042,Maison individuelle,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Air soufflé,Légère ou Moyenne,Central sans minimum de température,,0.89
42,TV025_043,Maison individuelle,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Air soufflé,Légère ou Moyenne,Central avec minimum de température,,0.87
43,TV025_044,Maison individuelle,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Air soufflé,Lourde ou Très Lourde,Absent,,0.91
44,TV025_045,Maison individuelle,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Air soufflé,Lourde ou Très Lourde,Central sans minimum de température,,0.91
45,TV025_046,Maison individuelle,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Air soufflé,Lourde ou Très Lourde,Central avec minimum de température,,0.89
46,TV025_047,Maison individuelle,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Radiateurs,Légère ou Moyenne,Absent,,0.91
47,TV025_048,Maison individuelle,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Radiateurs,Légère ou Moyenne,Central sans minimum de température,,0.9
