,Code,Type de Générateur,COP
0,TV032_001,PAC air/air installée,2.2
1,TV032_002,PAC air/eau installée,2.6
2,TV032_003,PAC eau/eau installée,3.2
3,TV032_004,PAC géothermique installée,4.0
4,TV032_005,Chauffe-eau sur air extrait,2.4
5,TV032_006,Chauffe-eau sur air extérieur,2.1
