,Code,Type de matériaux,Type de Baie,Ug,Uw
58,TV010_059,Métal avec rupture de pont thermique,Portes-fenêtres battantes,2.6,3.3
59,TV010_060,Métal avec rupture de pont thermique,Portes-fenêtres battantes,2.7,3.4
60,TV010_061,Métal avec rupture de pont thermique,Portes-fenêtres battantes,2.8,3.4
61,TV010_062,Métal avec rupture de pont thermique,Portes-fenêtres battantes,2.9,3.5
62,TV010_063,Métal avec rupture de pont thermique,Portes-fenêtres battantes,3.0,3.6
63,TV010_064,Métal avec rupture de pont thermique,Portes-fenêtres battantes,3.1,3.6
64,TV010_065,Métal avec rupture de pont thermique,Portes-fenêtres battantes,3.2,3.7
65,TV010_066,Métal avec rupture de pont thermique,Portes-fenêtres battantes,3.3,3.8
66,TV010_067,Métal avec rupture de pont thermique,Portes-fenêtres battantes,5.8,5.3
67,TV010_068,Métal avec rupture de pont thermique,Fenêtres coulissantes,0.8,2.0
68,TV010_069,Métal avec rupture de pont thermique,Fenêtres coulissantes,0.9,2.1
69,TV010_070,Métal avec rupture de pont thermique,Fenêtres coulissantes,1.0,2.2
70,TV010_071,Métal avec rupture de pont thermique,Fenêtres coulissantes,1.1,2.2
71,TV010_072,Métal avec rupture de pont thermique,Fenêtres coulissantes,1.2,2.3
72,TV010_073,Métal avec rupture de pont thermique,Fenêtres coulissantes,1.3,2.4
73,TV010_074,Métal avec rupture de pont thermique,Fenêtres coulissantes,1.4,2.5
74,TV010_075,Métal avec rupture de pont thermique,Fenêtres coulissantes,1.5,2.5
75,TV010_076,Métal avec rupture de pont thermique,Fenêtres coulissantes,1.6,2.6
76,TV010_077,Métal avec rupture de pont thermique,Fenêtres coulissantes,1.7,2.7
77,TV010_078,Métal avec rupture de pont thermique,Fenêtres coulissantes,1.8,2.8
78,TV010_079,Métal avec rupture de pont thermique,Fenêtres coulissantes,1.9,2.8
79,TV010_080,Métal avec rupture de pont thermique,Fenêtres coulissantes,2.0,2.9
80,TV010_081,Métal avec rupture de pont thermique,Fenêtres coulissantes,2.1,2.9
81,TV010_082,Métal avec rupture de pont thermique,Fenêtres coulissantes,2.2,2.9
82,TV010_083,Métal avec rupture de pont thermique,Fenêtres coulissantes,2.3,3.0
83,TV010_084,Métal avec rupture de pont thermique,Fenêtres coulissantes,2.4,3.1
84,TV010_085,Métal avec rupture de pont thermique,Fenêtres coulissantes,2.5,3.2
85,TV010_086,Métal avec rupture de pont thermique,Fenêtres coulissantes,2.6,3.2
86,TV010_087,Métal avec rupture de pont thermique,Fenêtres coulissantes,2.7,3.3
87,TV010_088,Métal avec rupture de pont thermique,Fenêtres coulissantes,2.8,3.4
88,TV010_089,Métal avec rupture de pont thermique,Fenêtres coulissantes,2.9,3.5
89,TV010_090,Métal avec rupture de pont thermique,Fenêtres coulissantes,3.0,3.5
90,TV010_091,Métal avec rupture de pont thermique,Fenêtres coulissantes,3.1,3.6
91,TV010_092,Métal avec rupture de pont thermique,Fenêtres coulissantes,3.2,3.7
92,TV010_093,Métal avec rupture de pont thermique,Fenêtres coulissantes,3.3,3.8
93,TV010_094,Métal avec rupture de pont thermique,Fenêtres coulissantes,5.8,5.3
94,TV010_095,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,0.8,1.8
95,TV010_096,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,0.9,1.9
96,TV010_097,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,1.0,2.0
97,TV010_098,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,1.1,2.1
98,TV010_099,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,1.2,2.1
99,TV010_100,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,1.3,2.2
100,TV010_101,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,1.4,2.3
101,TV010_102,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,1.5,2.4
102,TV010_103,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,1.6,2.5
103,TV010_104,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,1.7,2.5
104,TV010_105,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,1.8,2.6
105,TV010_106,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,1.9,2.7
106,TV010_107,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,2.0,2.8
107,TV010_108,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,2.1,2.8
108,TV010_109,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,2.2,2.8
109,TV010_110,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,2.3,2.9
110,TV010_111,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,2.4,3.0
111,TV010_112,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,2.5,3.1
112,TV010_113,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,2.6,3.2
113,TV010_114,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,2.7,3.2
114,TV010_115,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,2.8,3.3
115,TV010_116,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,2.9,3.4
116,TV010_117,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,3.0,3.5
117,TV010_118,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,3.1,3.6
118,TV010_119,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,3.2,3.6
119,TV010_120,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,3.3,3.7
120,TV010_121,Métal avec rupture de pont thermique,Portes-fenêtres coulissantes,5.8,5.4
121,TV010_122,Métal sans rupture de pont thermique,Fenêtres battantes,2.0,4.1
122,TV010_123,Métal sans rupture de pont thermique,Fenêtres battantes,2.1,4.1
123,TV010_124,Métal sans rupture de pont thermique,Fenêtres battantes,2.2,4.1
124,TV010_125,Métal sans rupture de pont thermique,Fenêtres battantes,2.3,4.2
125,TV010_126,Métal sans rupture de pont thermique,Fenêtres battantes,2.4,4.2
126,TV010_127,Métal sans rupture de pont thermique,Fenêtres battantes,2.5,4.3
127,TV010_128,Métal sans rupture de pont thermique,Fenêtres battantes,2.6,4.4
128,TV010_129,Métal sans rupture de pont thermique,Fenêtres battantes,2.7,4.4
129,TV010_130,Métal sans rupture de pont thermique,Fenêtres battantes,2.8,4.5
130,TV010_131,Métal sans rupture de pont thermique,Fenêtres battantes,2.9,4.6
131,TV010_132,Métal sans rupture de pont thermique,Fenêtres battantes,3.0,4.6
132,TV010_133,Métal sans rupture de pont thermique,Fenêtres battantes,3.1,4.7
133,TV010_134,Métal sans rupture de pont thermique,Fenêtres battantes,3.2,4.8
134,TV010_135,Métal sans rupture de pont thermique,Fenêtres battantes,3.3,4.8
135,TV010_136,Métal sans rupture de pont thermique,Fenêtres battantes,5.8,6.2
136,TV010_137,Métal sans rupture de pont thermique,Portes-fenêtres battantes,2.0,3.8
137,TV010_138,Métal sans rupture de pont thermique,Portes-fenêtres battantes,2.1,3.8
138,TV010_139,Métal sans rupture de pont thermique,Portes-fenêtres battantes,2.2,3.9
139,TV010_140,Métal sans rupture de pont thermique,Portes-fenêtres battantes,2.3,3.9
140,TV010_141,Métal sans rupture de pont thermique,Portes-fenêtres battantes,2.4,4.0
141,TV010_142,Métal sans rupture de pont thermique,Portes-fenêtres battantes,2.5,4.1
142,TV010_143,Métal sans rupture de pont thermique,Portes-fenêtres battantes,2.6,4.2
143,TV010_144,Métal sans rupture de pont thermique,Portes-fenêtres battantes,2.7,4.2
144,TV010_145,Métal sans rupture de pont thermique,Portes-fenêtres battantes,2.8,4.3
145,TV010_146,Métal sans rupture de pont thermique,Portes-fenêtres battantes,2.9,4.4
146,TV010_147,Métal sans rupture de pont thermique,Portes-fenêtres battantes,3.0,4.4
147,TV010_148,Métal sans rupture de pont thermique,Portes-fenêtres battantes,3.1,4.5
148,TV010_149,Métal sans rupture de pont thermique,Portes-fenêtres battantes,3.2,4.6
149,TV010_150,Métal sans rupture de pont thermique,Portes-fenêtres battantes,3.3,4.7
150,TV010_151,Métal sans rupture de pont thermique,Portes-fenêtres battantes,5.8,6.1
151,TV010_152,Métal sans rupture de pont thermique,Fenêtres coulissantes,2.0,3.7
152,TV010_153,Métal sans rupture de pont thermique,Fenêtres coulissantes,2.1,3.7
153,TV010_154,Métal sans rupture de pont thermique,Fenêtres coulissantes,2.2,3.7
154,TV010_155,Métal sans rupture de pont thermique,Fenêtres coulissantes,2.3,3.8
155,TV010_156,Métal sans rupture de pont thermique,Fenêtres coulissantes,2.4,3.9
156,TV010_157,Métal sans rupture de pont thermique,Fenêtres coulissantes,2.5,4.0
157,TV010_158,Métal sans rupture de pont thermique,Fenêtres coulissantes,2.6,4.0
158,TV010_159,Métal sans rupture de pont thermique,Fenêtres coulissantes,2.7,4.1
159,TV010_160,Métal sans rupture de pont thermique,Fenêtres coulissantes,2.8,4.2
160,TV010_161,Métal sans rupture de pont thermique,Fenêtres coulissantes,2.9,4.2
161,TV010_162,Métal sans rupture de pont thermique,Fenêtres coulissantes,3.0,4.3
162,TV010_163,Métal sans rupture de pont thermique,Fenêtres coulissantes,3.1,4.4
163,TV010_164,Métal sans rupture de pont thermique,Fenêtres coulissantes,3.2,4.5
164,TV010_165,Métal sans rupture de pont thermique,Fenêtres coulissantes,3.3,4.5
165,TV010_166,Métal sans rupture de pont thermique,Fenêtres coulissantes,5.8,6.1
166,TV010_167,Métal sans rupture de pont thermique,Portes-fenêtres coulissantes,2.0,3.4
167,TV010_168,Métal sans rupture de pont thermique,Portes-fenêtres coulissantes,2.1,3.4
168,TV010_169,Métal sans rupture de pont thermique,Portes-fenêtres coulissantes,2.2,3.4
169,TV010_170,Métal sans rupture de pont thermique,Portes-fenêtres coulissantes,2.3,3.5
170,TV010_171,Métal sans rupture de pont thermique,Portes-fenêtres coulissantes,2.4,3.6
171,TV010_172,Métal sans rupture de pont thermique,Portes-fenêtres coulissantes,2.5,3.7
172,TV010_173,Métal sans rupture de pont thermique,Portes-fenêtres coulissantes,2.6,3.8
173,TV010_174,Métal sans rupture de pont thermique,Portes-fenêtres coulissantes,2.7,3.8
174,TV010_175,Métal sans rupture de pont thermique,Portes-fenêtres coulissantes,2.8,3.9
175,TV010_176,Métal sans rupture de pont thermique,Portes-fenêtres coulissantes,2.9,4.0
176,TV010_177,Métal sans rupture de pont thermique,Portes-fenêtres coulissantes,3.0,4.1
177,TV010_178,Métal sans rupture de pont thermique,Portes-fenêtres coulissantes,3.1,4.2
178,TV010_179,Métal sans rupture de pont thermique,Portes-fenêtres coulissantes,3.2,4.2
179,TV010_180,Métal sans rupture de pont thermique,Portes-fenêtres coulissantes,3.3,4.3
180,TV010_181,Métal sans rupture de pont thermique,Portes-fenêtres coulissantes,5.8,6.0
181,TV010_182,PVC,Fenêtres battantes,0.8,1.5
182,TV010_183,PVC,Fenêtres battantes,0.9,1.5
183,TV010_184,PVC,Fenêtres battantes,1.0,1.6
184,TV010_185,PVC,Fenêtres battantes,1.1,1.6
185,TV010_186,PVC,Fenêtres battantes,1.2,1.7
186,TV010_187,PVC,Fenêtres battantes,1.3,1.8
187,TV010_188,PVC,Fenêtres battantes,1.4,1.9
188,TV010_189,PVC,Fenêtres battantes,1.5,1.9
189,TV010_190,PVC,Fenêtres battantes,1.6,2.0
190,TV010_191,PVC,Fenêtres battantes,1.7,2.0
191,TV010_192,PVC,Fenêtres battantes,1.8,2.1
192,TV010_193,PVC,Fenêtres battantes,1.9,2.2
193,TV010_194,PVC,Fenêtres battantes,2.0,2.2
194,TV010_195,PVC,Fenêtres battantes,2.1,2.2
195,TV010_196,PVC,Fenêtres battantes,2.2,2.3
196,TV010_197,PVC,Fenêtres battantes,2.3,2.4
197,TV010_198,PVC,Fenêtres battantes,2.4,2.4
198,TV010_199,PVC,Fenêtres battantes,2.5,2.5
199,TV010_200,PVC,Fenêtres battantes,2.6,2.6
200,TV010_201,PVC,Fenêtres battantes,2.7,2.6
201,TV010_202,PVC,Fenêtres battantes,2.8,2.7
202,TV010_203,PVC,Fenêtres battantes,2.9,2.8
203,TV010_204,PVC,Fenêtres battantes,3.0,2.8
204,TV010_205,PVC,Fenêtres battantes,3.1,2.9
205,TV010_206,PVC,Fenêtres battantes,3.2,3.0
206,TV010_207,PVC,Fenêtres battantes,3.3,3.0
207,TV010_208,PVC,Fenêtres battantes,5.8,4.4
208,TV010_209,PVC,Portes-fenêtres battantes sans soubassement,0.8,1.4
209,TV010_210,PVC,Portes-fenêtres battantes sans soubassement,0.9,1.5
210,TV010_211,PVC,Portes-fenêtres battantes sans soubassement,1.0,1.6
211,TV010_212,PVC,Portes-fenêtres battantes sans soubassement,1.1,1.6
212,TV010_213,PVC,Portes-fenêtres battantes sans soubassement,1.2,1.7
213,TV010_214,PVC,Portes-fenêtres battantes sans soubassement,1.3,1.8
214,TV010_215,PVC,Portes-fenêtres battantes sans soubassement,1.4,1.9
215,TV010_216,PVC,Portes-fenêtres battantes sans soubassement,1.5,1.9
216,TV010_217,PVC,Portes-fenêtres battantes sans soubassement,1.6,2.0
217,TV010_218,PVC,Portes-fenêtres battantes sans soubassement,1.7,2.0
218,TV010_219,PVC,Portes-fenêtres battantes sans soubassement,1.8,2.1
219,TV010_220,PVC,Portes-fenêtres battantes sans soubassement,1.9,2.2
220,TV010_221,PVC,Portes-fenêtres battantes sans soubassement,2.0,2.2
221,TV010_222,PVC,Portes-fenêtres battantes sans soubassement,2.1,2.2
222,TV010_223,PVC,Portes-fenêtres battantes sans soubassement,2.2,2.3
223,TV010_224,PVC,Portes-fenêtres battantes sans soubassement,2.3,2.4
224,TV010_225,PVC,Portes-fenêtres battantes sans soubassement,2.4,2.4
225,TV010_226,PVC,Portes-fenêtres battantes sans soubassement,2.5,2.5
226,TV010_227,PVC,Portes-fenêtres battantes sans soubassement,2.6,2.6
227,TV010_228,PVC,Portes-fenêtres battantes sans soubassement,2.7,2.6
228,TV010_229,PVC,Portes-fenêtres battantes sans soubassement,2.8,2.7
229,TV010_230,PVC,Portes-fenêtres battantes sans soubassement,2.9,2.8
230,TV010_231,PVC,Portes-fenêtres battantes sans soubassement,3.0,2.9
231,TV010_232,PVC,Portes-fenêtres battantes sans soubassement,3.1,2.9
232,TV010_233,PVC,Portes-fenêtres battantes sans soubassement,3.2,3.0
233,TV010_234,PVC,Portes-fenêtres battantes sans soubassement,3.3,3.1
234,TV010_235,PVC,Portes-fenêtres battantes sans soubassement,5.8,4.5
235,TV010_236,PVC,Portes-fenêtres battantes avec soubassement,0.8,1.5
236,TV010_237,PVC,Portes-fenêtres battantes avec soubassement,0.9,1.6
237,TV010_238,PVC,Portes-fenêtres battantes avec soubassement,1.0,1.6
238,TV010_239,PVC,Portes-fenêtres battantes avec soubassement,1.1,1.7
239,TV010_240,PVC,Portes-fenêtres battantes avec soubassement,1.2,1.8
240,TV010_241,PVC,Portes-fenêtres battantes avec soubassement,1.3,1.8
241,TV010_242,PVC,Portes-fenêtres battantes avec soubassement,1.4,1.9
242,TV010_243,PVC,Portes-fenêtres battantes avec soubassement,1.5,1.9
243,TV010_244,PVC,Portes-fenêtres battantes avec soubassement,1.6,2.0
244,TV010_245,PVC,Portes-fenêtres battantes avec soubassement,1.7,2.1
245,TV010_246,PVC,Portes-fenêtres battantes avec soubassement,1.8,2.1
246,TV010_247,PVC,Portes-fenêtres battantes avec soubassement,1.9,2.2
247,TV010_248,PVC,Portes-fenêtres battantes avec soubassement,2.0,2.2
248,TV010_249,PVC,Portes-fenêtres battantes avec soubassement,2.1,2.2
249,TV010_250,PVC,Portes-fenêtres battantes avec soubassement,2.2,2.3
250,TV010_251,PVC,Portes-fenêtres battantes avec soubassement,2.3,2.3
251,TV010_252,PVC,Portes-fenêtres battantes avec soubassement,2.4,2.4
252,TV010_253,PVC,Portes-fenêtres battantes avec soubassement,2.5,2.5
253,TV010_254,PVC,Portes-fenêtres battantes avec soubassement,2.6,2.5
254,TV010_255,PVC,Portes-fenêtres battantes avec soubassement,2.7,2.6
255,TV010_256,PVC,Portes-fenêtres battantes avec soubassement,2.8,2.7
256,TV010_257,PVC,Portes-fenêtres battantes avec soubassement,2.9,2.7
257,TV010_258,PVC,Portes-fenêtres battantes avec soubassement,3.0,2.8
258,TV010_259,PVC,Portes-fenêtres battantes avec soubassement,3.1,2.8
259,TV010_260,PVC,Portes-fenêtres battantes avec soubassement,3.2,2.9
260,TV010_261,PVC,Portes-fenêtres battantes avec soubassement,3.3,3.0
261,TV010_262,PVC,Portes-fenêtres battantes avec soubassement,5.8,4.4
262,TV010_263,PVC,Fenêtres coulissantes,0.8,1.6
263,TV010_264,PVC,Fenêtres coulissantes,0.9,1.7
264,TV010_265,PVC,Fenêtres coulissantes,1.0,1.7
265,TV010_266,PVC,Fenêtres coulissantes,1.1,1.8
266,TV010_267,PVC,Fenêtres coulissantes,1.2,1.9
267,TV010_268,PVC,Fenêtres coulissantes,1.3,2.0
268,TV010_269,PVC,Fenêtres coulissantes,1.4,2.1
269,TV010_270,PVC,Fenêtres coulissantes,1.5,2.1
270,TV010_271,PVC,Fenêtres coulissantes,1.6,2.2
271,TV010_272,PVC,Fenêtres coulissantes,1.7,2.3
272,TV010_273,PVC,Fenêtres coulissantes,1.8,2.3
273,TV010_274,PVC,Fenêtres coulissantes,1.9,2.4
274,TV010_275,PVC,Fenêtres coulissantes,2.0,2.4
275,TV010_276,PVC,Fenêtres coulissantes,2.1,2.4
276,TV010_277,PVC,Fenêtres coulissantes,2.2,2.5
277,TV010_278,PVC,Fenêtres coulissantes,2.3,2.6
278,TV010_279,PVC,Fenêtres coulissantes,2.4,2.6
279,TV010_280,PVC,Fenêtres coulissantes,2.5,2.7
280,TV010_281,PVC,Fenêtres coulissantes,2.6,2.8
281,TV010_282,PVC,Fenêtres coulissantes,2.7,2.9
282,TV010_283,PVC,Fenêtres coulissantes,2.8,2.9
283,TV010_284,PVC,Fenêtres coulissantes,2.9,3.0
284,TV010_285,PVC,Fenêtres coulissantes,3.0,3.1
285,TV010_286,PVC,Fenêtres coulissantes,3.1,3.1
286,TV010_287,PVC,Fenêtres coulissantes,3.2,3.2
287,TV010_288,PVC,Fenêtres coulissantes,3.3,3.3
288,TV010_289,PVC,Fenêtres coulissantes,5.8,4.8
289,TV010_290,PVC,Portes-fenêtres coulissantes,0.8,1.5
290,TV010_291,PVC,Portes-fenêtres coulissantes,0.9,1.6
291,TV010_292,PVC,Portes-fenêtres coulissantes,1.0,1.7
292,TV010_293,PVC,Portes-fenêtres coulissantes,1.1,1.7
293,TV010_294,PVC,Portes-fenêtres coulissantes,1.2,1.8
294,TV010_295,PVC,Portes-fenêtres coulissantes,1.3,1.9
295,TV010_296,PVC,Portes-fenêtres coulissantes,1.4,2.0
296,TV010_297,PVC,Portes-fenêtres coulissantes,1.5,2.1
297,TV010_298,PVC,Portes-fenêtres coulissantes,1.6,2.1
298,TV010_299,PVC,Portes-fenêtres coulissantes,1.7,2.2
299,TV010_300,PVC,Portes-fenêtres coulissantes,1.8,2.3
300,TV010_301,PVC,Portes-fenêtres coulissantes,1.9,2.4
301,TV010_302,PVC,Portes-fenêtres coulissantes,2.0,2.4
302,TV010_303,PVC,Portes-fenêtres coulissantes,2.1,2.4
303,TV010_304,PVC,Portes-fenêtres coulissantes,2.2,2.5
304,TV010_305,PVC,Portes-fenêtres coulissantes,2.3,2.6
305,TV010_306,PVC,Portes-fenêtres coulissantes,2.4,2.6
306,TV010_307,PVC,Portes-fenêtres coulissantes,2.5,2.7
307,TV010_308,PVC,Portes-fenêtres coulissantes,2.6,2.8
308,TV010_309,PVC,Portes-fenêtres coulissantes,2.7,2.9
309,TV010_310,PVC,Portes-fenêtres coulissantes,2.8,3.0
310,TV010_311,PVC,Portes-fenêtres coulissantes,2.9,3.0
311,TV010_312,PVC,Portes-fenêtres coulissantes,3.0,3.1
312,TV010_313,PVC,Portes-fenêtres coulissantes,3.1,3.2
313,TV010_314,PVC,Portes-fenêtres coulissantes,3.2,3.2
314,TV010_315,PVC,Portes-fenêtres coulissantes,3.3,3.3
315,TV010_316,PVC,Portes-fenêtres coulissantes,5.8,4.9
316,TV010_317,Bois ou bois/métal,Fenêtres battantes ou coulissantes,0.8,1.5
317,TV010_318,Bois ou bois/métal,Fenêtres battantes ou coulissantes,0.9,1.6
318,TV010_319,Bois ou bois/métal,Fenêtres battantes ou coulissantes,1.0,1.6
319,TV010_320,Bois ou bois/métal,Fenêtres battantes ou coulissantes,1.1,1.7
320,TV010_321,Bois ou bois/métal,Fenêtres battantes ou coulissantes,1.2,1.9
321,TV010_322,Bois ou bois/métal,Fenêtres battantes ou coulissantes,1.3,2.0
322,TV010_323,Bois ou bois/métal,Fenêtres battantes ou coulissantes,1.4,2.1
323,TV010_324,Bois ou bois/métal,Fenêtres battantes ou coulissantes,1.5,2.1
324,TV010_325,Bois ou bois/métal,Fenêtres battantes ou coulissantes,1.6,2.2
325,TV010_326,Bois ou bois/métal,Fenêtres battantes ou coulissantes,1.7,2.2
326,TV010_327,Bois ou bois/métal,Fenêtres battantes ou coulissantes,1.8,2.3
327,TV010_328,Bois ou bois/métal,Fenêtres battantes ou coulissantes,1.9,2.4
328,TV010_329,Bois ou bois/métal,Fenêtres battantes ou coulissantes,2.0,2.4
329,TV010_330,Bois ou bois/métal,Fenêtres battantes ou coulissantes,2.1,2.4
330,TV010_331,Bois ou bois/métal,Fenêtres battantes ou coulissantes,2.2,2.5
331,TV010_332,Bois ou bois/métal,Fenêtres battantes ou coulissantes,2.3,2.5
332,TV010_333,Bois ou bois/métal,Fenêtres battantes ou coulissantes,2.4,2.6
333,TV010_334,Bois ou bois/métal,Fenêtres battantes ou coulissantes,2.5,2.7
334,TV010_335,Bois ou bois/métal,Fenêtres battantes ou coulissantes,2.6,2.8
335,TV010_336,Bois ou bois/métal,Fenêtres battantes ou coulissantes,2.7,2.8
336,TV010_337,Bois ou bois/métal,Fenêtres battantes ou coulissantes,2.8,2.9
337,TV010_338,Bois ou bois/métal,Fenêtres battantes ou coulissantes,2.9,3.0
338,TV010_339,Bois ou bois/métal,Fenêtres battantes ou coulissantes,3.0,3.0
339,TV010_340,Bois ou bois/métal,Fenêtres battantes ou coulissantes,3.1,3.1
340,TV010_341,Bois ou bois/métal,Fenêtres battantes ou coulissantes,3.2,3.2
341,TV010_342,Bois ou bois/métal,Fenêtres battantes ou coulissantes,3.3,3.2
342,TV010_343,Bois ou bois/métal,Fenêtres battantes ou coulissantes,5.8,4.7
343,TV010_344,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,0.8,1.4
344,TV010_345,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,0.9,1.5
345,TV010_346,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,1.0,1.6
346,TV010_347,Bois ou bois/métal,Portes-fenêtres battantes sans soubassement ou coulissantes,1.1,1.6
