,Code,Type de matériaux,Type de Baie,Ug,Uw
0,TV010_001,Portes simples en bois ou PVC,Porte opaque pleine,,3.5
1,TV010_002,Portes simples en bois ou PVC,Porte avec moins de 30% de vitrage simple,,4.0
2,TV010_003,Portes simples en bois ou PVC,Porte avec 30 à 60% de vitrage simple,,4.5
3,TV010_004,Portes simples en bois ou PVC,Porte avec double vitrage,,3.3
4,TV010_005,Portes simples en métal,Porte opaque pleine,,5.8
5,TV010_006,Portes simples en métal,Porte avec vitrage simple,,5.8
6,TV010_007,Portes simples en métal,Porte avec moins de 30% de vitrage simple,,5.5
7,TV010_008,Portes simples en métal,Porte avec 30 à 60% de vitrage simple,,4.8
8,TV010_009,Autres Portes,Porte opaque pleine isolée,,2.0
9,TV010_010,Autres Portes,Porte précédée d'un SAS,,1.5
10,TV010_011,Brique de verre,Brique de verre pleine,,3.5
11,TV010_012,Brique de verre,Brique de verre creuse,,2.6
12,TV010_013,Parois en Polycarbonnate,Parois en Polycarbonnate,,3.0
13,TV010_014,Métal avec rupture de pont thermique,Fenêtres battantes,0.8,2.3
14,TV010_015,Métal avec rupture de pont thermique,Fenêtres battantes,0.9,2.3
15,TV010_016,Métal avec rupture de pont thermique,Fenêtres battantes,1.0,2.4
16,TV010_017,Métal avec rupture de pont thermique,Fenêtres battantes,1.1,2.5
17,TV010_018,Métal avec rupture de pont thermique,Fenêtres battantes,1.2,2.5
18,TV010_019,Métal avec rupture de pont thermique,Fenêtres battantes,1.3,2.6
19,TV010_020,Métal avec rupture de pont thermique,Fenêtres battantes,1.4,2.7
20,TV010_021,Métal avec rupture de pont thermique,Fenêtres battantes,1.5,2.7
21,TV010_022,Métal avec rupture de pont thermique,Fenêtres battantes,1.6,2.8
22,TV010_023,Métal avec rupture de pont thermique,Fenêtres battantes,1.7,2.9
23,TV010_024,Métal avec rupture de pont thermique,Fenêtres battantes,1.8,2.9
24,TV010_025,Métal avec rupture de pont thermique,Fenêtres battantes,1.9,3.0
25,TV010_026,Métal avec rupture de pont thermique,Fenêtres battantes,2.0,3.0
26,TV010_027,Métal avec rupture de pont thermique,Fenêtres battantes,2.1,3.0
27,TV010_028,Métal avec rupture de pont thermique,Fenêtres battantes,2.2,3.1
28,TV010_029,Métal avec rupture de pont thermique,Fenêtres battantes,2.3,3.2
29,TV010_030,Métal avec rupture de pont thermique,Fenêtres battantes,2.4,3.2
30,TV010_031,Métal avec rupture de pont thermique,Fenêtres battantes,2.5,3.3
31,TV010_032,Métal avec rupture de pont thermique,Fenêtres battantes,2.6,3.4
32,TV010_033,Métal avec rupture de pont thermique,Fenêtres battantes,2.7,3.4
33,TV010_034,Métal avec rupture de pont thermique,Fenêtres battantes,2.8,3.5
34,TV010_035,Métal avec rupture de pont thermique,Fenêtres battantes,2.9,3.6
35,TV010_036,Métal avec rupture de pont thermique,Fenêtres battantes,3.0,3.6
36,TV010_037,Métal avec rupture de pont thermique,Fenêtres battantes,3.1,3.7
37,TV010_038,Métal avec rupture de pont thermique,Fenêtres battantes,3.2,3.8
38,TV010_039,Métal avec rupture de pont thermique,Fenêtres battantes,3.3,3.8
39,TV010_040,Métal avec rupture de pont thermique,Fenêtres battantes,5.8,5.2
40,TV010_041,Métal avec rupture de pont thermique,Portes-fenêtres battantes,0.8,2.1
41,TV010_042,Métal avec rupture de pont thermique,Portes-fenêtres battantes,0.9,2.2
42,TV010_043,Métal avec rupture de pont thermique,Portes-fenêtres battantes,1.0,2.3
43,TV010_044,Métal avec rupture de pont thermique,Portes-fenêtres battantes,1.1,2.3
44,TV010_045,Métal avec rupture de pont thermique,Portes-fenêtres battantes,1.2,2.4
45,TV010_046,Métal avec rupture de pont thermique,Portes-fenêtres battantes,1.3,2.5
46,TV010_047,Métal avec rupture de pont thermique,Portes-fenêtres battantes,1.4,2.5
47,TV010_048,Métal avec rupture de pont thermique,Portes-fenêtres battantes,1.5,2.6
48,TV010_049,Métal avec rupture de pont thermique,Portes-fenêtres battantes,1.6,2.7
49,TV010_050,Métal avec rupture de pont thermique,Portes-fenêtres battantes,1.7,2.7
50,TV010_051,Métal avec rupture de pont thermique,Portes-fenêtres battantes,1.8,2.8
51,TV010_052,Métal avec rupture de pont thermique,Portes-fenêtres battantes,1.9,2.9
52,TV010_053,Métal avec rupture de pont thermique,Portes-fenêtres battantes,2.0,2.9
53,TV010_054,Métal avec rupture de pont thermique,Portes-fenêtres battantes,2.1,2.9
54,TV010_055,Métal avec rupture de pont thermique,Portes-fenêtres battantes,2.2,3.0
55,TV010_056,Métal avec rupture de pont thermique,Portes-fenêtres battantes,2.3,3.1
56,TV010_057,Métal avec rupture de pont thermique,Portes-fenêtres battantes,2.4,3.1
57,TV010_058,Métal avec rupture de pont thermique,Portes-fenêtres battantes,2.5,3.2
