,Code,Type de prise d'air,Q4Paconv/m²
0,TV014_001,Fenêtres sans joint et cheminée sans trappe de fermeture,2.5
1,TV014_002,Fenêtres sans joint ou cheminées sans trappe de fermeture,2.0
2,TV014_003,Autres cas,1.7
