,Code,Pb Isolé,2S/P,Année construction,Année isolation,Zone Hiver,Effet Joule,Upb
71,TV005_072,Terre Plein,10.0,Avant 2001,,,,0.28
72,TV005_073,Terre Plein,11.0,Avant 2001,,,,0.27
73,TV005_074,Terre Plein,12.0,Avant 2001,,,,0.27
74,TV005_075,Terre Plein,13.0,Avant 2001,,,,0.26
75,TV005_076,Terre Plein,14.0,Avant 2001,,,,0.25
76,TV005_077,Terre Plein,15.0,Avant 2001,,,,0.24
77,TV005_078,Terre Plein,16.0,Avant 2001,,,,0.24
78,TV005_079,Terre Plein,17.0,Avant 2001,,,,0.23
79,TV005_080,Terre Plein,18.0,Avant 2001,,,,0.23
80,TV005_081,Terre Plein,19.0,Avant 2001,,,,0.22
81,TV005_082,Terre Plein,20.0,Avant 2001,,,,0.22
82,TV005_083,Terre Plein,3.0,A partir de 2001,,,,0.27
83,TV005_084,Terre Plein,4.0,A partir de 2001,,,,0.26
84,TV005_085,Terre Plein,5.0,A partir de 2001,,,,0.25
85,TV005_086,Terre Plein,6.0,A partir de 2001,,,,0.25
86,TV005_087,Terre Plein,7.0,A partir de 2001,,,,0.24
87,TV005_088,Terre Plein,8.0,A partir de 2001,,,,0.23
88,TV005_089,Terre Plein,9.0,A partir de 2001,,,,0.22
89,TV005_090,Terre Plein,10.0,A partir de 2001,,,,0.21
90,TV005_091,Terre Plein,11.0,A partir de 2001,,,,0.2
91,TV005_092,Terre Plein,12.0,A partir de 2001,,,,0.19
92,TV005_093,Terre Plein,13.0,A partir de 2001,,,,0.18
93,TV005_094,Terre Plein,14.0,A partir de 2001,,,,0.18
94,TV005_095,Terre Plein,15.0,A partir de 2001,,,,0.17
95,TV005_096,Terre Plein,16.0,A partir de 2001,,,,0.17
96,TV005_097,Terre Plein,17.0,A partir de 2001,,,,0.16
97,TV005_098,Terre Plein,18.0,A partir de 2001,,,,0.16
98,TV005_099,Terre Plein,19.0,A partir de 2001,,,,0.15
99,TV005_100,Terre Plein,20.0,A partir de 2001,,,,0.15
