,Code,Pb Isolé,2S/P,Année construction,Année isolation,Zone Hiver,Effet Joule,Upb
0,TV005_001,Non,,,,,,2.0
1,TV005_002,Inconnu,,1948 à 1974,,H1,oui,2.0
2,TV005_003,Inconnu,,1974 à 1977,,H1,oui,0.9
3,TV005_004,Inconnu,,1977 à 1982,,H1,oui,0.8
4,TV005_005,Inconnu,,1982 à 1988,,H1,oui,0.55
5,TV005_006,Inconnu,,1988 à 2000,,H1,oui,0.55
6,TV005_007,Inconnu,,2000 à 2005,,H1,oui,0.3
7,TV005_008,Inconnu,,à partir de 2006,,H1,oui,0.27
8,TV005_009,Inconnu,,1948 à 1974,,H1,non,2.0
9,TV005_010,Inconnu,,1974 à 1977,,H1,non,0.9
10,TV005_011,Inconnu,,1977 à 1982,,H1,non,0.9
11,TV005_012,Inconnu,,1982 à 1988,,H1,non,0.7
12,TV005_013,Inconnu,,1988 à 2000,,H1,non,0.6
13,TV005_014,Inconnu,,2000 à 2005,,H1,non,0.3
14,TV005_015,Inconnu,,à partir de 2006,,H1,non,0.27
15,TV005_016,Inconnu,,1948 à 1974,,H2,oui,2.0
16,TV005_017,Inconnu,,1974 à 1977,,H2,oui,0.95
17,TV005_018,Inconnu,,1977 à 1982,,H2,oui,0.84
18,TV005_019,Inconnu,,1982 à 1988,,H2,oui,0.58
19,TV005_020,Inconnu,,1988 à 2000,,H2,oui,0.58
20,TV005_021,Inconnu,,2000 à 2005,,H2,oui,0.3
21,TV005_022,Inconnu,,à partir de 2006,,H2,oui,0.27
22,TV005_023,Inconnu,,1948 à 1974,,H2,non,2.0
23,TV005_024,Inconnu,,1974 à 1977,,H2,non,0.95
24,TV005_025,Inconnu,,1977 à 1982,,H2,non,0.95
25,TV005_026,Inconnu,,1982 à 1988,,H2,non,0.74
26,TV005_027,Inconnu,,1988 à 2000,,H2,non,0.63
27,TV005_028,Inconnu,,2000 à 2005,,H2,non,0.3
28,TV005_029,Inconnu,,à partir de 2006,,H2,non,0.27
29,TV005_030,Inconnu,,1948 à 1974,,H3,oui,2.0
30,TV005_031,Inconnu,,1974 à 1977,,H3,oui,1.0
31,TV005_032,Inconnu,,1977 à 1982,,H3,oui,0.89
32,TV005_033,Inconnu,,1982 à 1988,,H3,oui,0.61
33,TV005_034,Inconnu,,1988 à 2000,,H3,oui,0.61
34,TV005_035,Inconnu,,2000 à 2005,,H3,oui,0.43
35,TV005_036,Inconnu,,à partir de 2006,,H3,oui,0.36
36,TV005_037,Inconnu,,1948 à 1974,,H3,non,2.0
37,TV005_038,Inconnu,,1974 à 1977,,H3,non,1.0
38,TV005_039,Inconnu,,1977 à 1982,,H3,non,1.0
39,TV005_040,Inconnu,,1982 à 1988,,H3,non,0.78
40,TV005_041,Inconnu,,1988 à 2000,,H3,non,0.67
41,TV005_042,Inconnu,,2000 à 2005,,H3,non,0.43
42,TV005_043,Inconnu,,à partir de 2006,,H3,non,0.36
43,TV005_044,Oui,,jusqu'à 1988,,,,0.87
44,TV005_045,Oui,,de 1989 à 2000,,,,0.63
45,TV005_046,Oui,,à partir de 2000,,,,0.42
46,TV005_047,Oui,,,de 1975 à 1977,H1,,0.9
47,TV005_048,Oui,,,de 1978 à 1982,H1,,0.8
48,TV005_049,Oui,,,de 1983 à 1988,H1,,0.55
49,TV005_050,Oui,,,de 1989 à 2000,H1,,0.55
50,TV005_051,Oui,,,de 2001 à 2005,H1,,0.3
51,TV005_052,Oui,,,à partir de 2006,H1,,0.27
52,TV005_053,Oui,,,de 1975 à 1977,H2,,0.95
53,TV005_054,Oui,,,de 1978 à 1982,H2,,0.84
54,TV005_055,Oui,,,de 1983 à 1988,H2,,0.58
55,TV005_056,Oui,,,de 1989 à 2000,H2,,0.58
56,TV005_057,Oui,,,de 2001 à 2005,H2,,0.3
57,TV005_058,Oui,,,à partir de 2006,H2,,0.27
58,TV005_059,Oui,,,de 1975 à 1977,H3,,1.0
59,TV005_060,Oui,,,de 1978 à 1982,H3,,0.89
60,TV005_061,Oui,,,de 1983 à 1988,H3,,0.61
61,TV005_062,Oui,,,de 1989 à 2000,H3,,0.61
62,TV005_063,Oui,,,de 2001 à 2005,H3,,0.43
63,TV005_064,Oui,,,à partir de 2006,H3,,0.36
64,TV005_065,Terre Plein,3.0,Avant 2001,,,,0.37
65,TV005_066,Terre Plein,4.0,Avant 2001,,,,0.35
66,TV005_067,Terre Plein,5.0,Avant 2001,,,,0.34
67,TV005_068,Terre Plein,6.0,Avant 2001,,,,0.32
68,TV005_069,Terre Plein,7.0,Avant 2001,,,,0.31
69,TV005_070,Terre Plein,8.0,Avant 2001,,,,0.3
70,TV005_071,Terre Plein,9.0,Avant 2001,,,,0.29
