DEPCOM,POLE,NCC
01003,01165,AMAREINS
01018,01033,ARLOD
01020,01125,ARNANS
01048,01245,BOHAS
01055,01283,BOUVENT
01070,01165,CESSEINS
01086,01414,CHARANCIN
01119,01080,CORCELLES
01120,01262,CORDIEUX
01126,01033,COUPY
01131,01189,CRAZ
01132,69274,CREPIEUX-LA-PAPE
01137,01426,CUISIAT
01144,01025,DOMMARTIN
01161,01414,FITIGNIEU
01164,01104,FORENS
01168,69278,GENAY
01172,01095,GERMAGNAT
01176,01187,GRAND-ABERGEMENT
01178,01240,GRANGES
01182,01338,GROSLEE
01201,01185,LACOUX
01217,01079,LILIGNOD
01220,01185,LOMPNES
01222,01185,LONGECOMBE
01223,01450,LOYES
01226,01036,LUTHEZIEU
01251,01313,MOENS
01253,01450,MOLLON
01256,69284,MONTANAY
01270,01410,NAPT
01271,01286,NATTAGES
01278,01091,OCHIAZ
01287,01079,PASSIN
01292,01187,PETIT-ABERGEMENT
01300,01204,POIZAT
01312,01426,PRESSIAT
01315,01202,PROULIEU
01316,01098,PUGIEU
01324,01245,RIGNAT
01326,69286,RILLIEUX
01327,01184,ROMANECHE
01340,01015,SAINT-BOIS
01377,01125,SAINT-MAURICE-D'ECHAZEAUX
01394,69292,SATHONAY-CAMP
01395,69293,SATHONAY-VILLAGE
01409,01187,SONGIEU
01438,01143,VESENEX-CRASSY
01440,01283,VEYZIAT
01455,01267,VOLOGNAT
01458,01091,VOUVRAY
02026,02458,ARTONGES
02045,02439,BARBONVAL
02092,02093,BLERANCOURDELLE
02113,02022,BRANGES
02147,02458,CELLE-SOUS-MONTMIRAIL
02161,02053,CHAPELLE-MONTHODON
02202,02220,COHAN
02247,02580,CUGNY-LES-CROUTTES
02285,59545,ESCAUFOURT
02300,02738,FARGNIERS
02314,02361,FLAVIGNY-LE-PETIT
02325,02458,FONTENELLE-EN-BRIE
02344,51664,GERNICOURT
02348,02439,GLENNES
02365,02124,HAMEGICOURT
02394,02008,JOUY
02436,02140,LOMBRAY
02437,02757,LONGCHAMPS
02479,02439,MERVAL
02597,02439,PERLES
02603,02810,PISSELEUX
02611,02559,PONT-A-BUCY
02630,02738,QUESSY
02646,02439,REVILLON
02669,02053,SAINT-AGNAN
02692,02307,SAINT-QUENTIN-SUR-ALLAN
02700,02308,SART
02771,02439,VAUXCERE
02811,02439,VILLERS-EN-PRAYERES
02825,02738,VOUEL
03123,03158,GIVARLAIS
03153,03158,LOUROUX-HODEMENT
03199,03315,NEUVILLE
03318,03168,VITRAY
04002,04167,AINAC
04003,04081,ALBIOSC
04010,04136,ARGENS
04011,04023,ASTOIN
04014,04109,AUGES
04015,04177,AURIBEAU
04029,04155,BLEGIERS
04038,04208,CARNIOL
04044,04039,CASTILLON
04048,04039,CHASTEUIL
04052,04144,CHATEAUNEUF-LES-MOUSTIERS
04056,04108,CHENERILLES
04060,04219,SAINT-MICHEL-PEYRESQ
04064,04173,COURCHONS
04071,04070,DOURBES
04078,04039,EOULX
04080,04097,ESCLANGON
04082,04023,ESPARRON-LA-BATIE
04083,04046,ESPINOUSE
04089,04226,FOURS
04098,04167,LAMBERT
04100,04120,LARCHE
04103,04107,LEVENS
04105,04192,LINCEL
04114,04155,MARIAUD
04117,04040,MELAN
04119,04161,MEOLANS
04125,04043,MONTBLANC
04131,04124,MONTPEZAT
04146,04217,PERUSSE
04147,04219,PEYRESQ
04153,04204,POIL
04165,04023,REYNIER
04168,04039,ROBION
04185,04046,SAINT-JURSON
04196,04075,SAINT-SYMPHORIEN
04198,04033,SAINT-VINCENT-LES-FORTS
04212,04039,TALOIRE
04213,04167,TANARON
04215,04039,TAULANNE
04221,04084,TREVANS
04223,04102,UBAYE
04225,04234,URTIS
04232,04208,VALSAINTES
04238,04075,VILHOSC
04239,04039,VILLARS-BRANDIS
04243,04043,VILLEVIEILLE
05002,05139,AGNIERES-EN-DEVOLUY
05005,05118,ANTONAVES
05015,05014,BARRET-LE-HAUT
05020,05132,BENEVENT-ET-CHARBILLAC
05030,05145,CHABOTTONNES
05034,05118,CHATEAUNEUF-DE-CHABRE
05041,05064,CLEMENCE-D'AMBEL
05042,05139,CLUSE
05043,05039,COSTES
05067,05132,INFOURNAS
05069,05053,LAGRAND
05083,05070,MONTEGLIN
05088,05024,MONTMORIN
05105,05118,POMET
05125,05061,ROMETTE
05137,05051,SAINT-CYRICE
05138,05139,SAINT-DISDIER
05141,05039,SAINT-EUSEBE-EN-CHAMPSAUR
05143,05053,SAINT-GENIS
05150,05024,SAINTE-MARIE
05175,05101,VALLOUISE
07021,07207,AURIOLLES
07043,07334,BRAHIC
07046,07031,CASTELJAU
07057,07334,CHASSAGNES
07125,07147,LAFIGERE
07164,07334,NAVES
