"id","code","materiaux","uph0","est_efface","simu_ordre","simulateur"
"1","TV008_001","Inconnu","2.50","0","NULL","1"
"2","TV008_002","Plafond avec ou sans remplissage","1.45","0","NULL","1"
"3","TV008_003","Plafond entre solives métalliques avec ou sans remplissage","1.45","0","NULL","1"
"4","TV008_004","Plafond entre solives bois avec ou sans remplissage","1.20","0","NULL","1"
"5","TV008_005","Plafond bois sur solives métalliques","2.50","0","NULL","1"
"6","TV008_006","Plafond bois sous solives métalliques","2.50","0","NULL","1"
"7","TV008_007","Bardeaux et remplissage","1.20","0","NULL","1"
"8","TV008_008","Dalle béton","2.50","0","NULL","1"
"9","TV008_009","Plafond bois sur solives bois","2.00","0","NULL","1"
"10","TV008_010","Plafond bois sous solives bois","2.30","0","NULL","1"
"11","TV008_011","Plafond lourd type entrevous terre-cuite, poutrelles béton","2.50","0","NULL","1"
"12","TV008_012","Combles aménagés sous rampant","2.50","0","NULL","1"
"13","TV008_013","Toiture en chaume","0.24","0","NULL","1"
"14","TV008_014","Plafond en plaque de plâtre","2.50","0","NULL","1"
