"id","code","tv036_puissance_veilleuse_type_chaudiere_id","type_generation","anciennete","anciennete_min","anciennete_max","pn","pn_min","pn_max","rpn","rpn_v1","rpn_v2","rpint","rpint_v1","rpint_v2","qp0","qp0_v1","qp0_v2","veilleuse","est_efface"
"64","TV036_064","11","Classe 5","Avant 1978","1900","1977","NULL","0.00","9999.00","87+log Pn","87.00","1.00","88+log Pn","88.00","1.00","Pnx0,09%xPn-0,30","0.090","-0.280","NULL","0"
"65","TV036_065","11","Classe 4","Avant 1978","1900","1977","NULL","0.00","9999.00","80+2xlog Pn","80.00","2.00","81+2xlog Pn","81.00","2.00","Pnx0,09%xPn-0,30","0.090","-0.280","NULL","0"
"66","TV036_066","11","Classe 3","Avant 1978","1900","1977","NULL","0.00","9999.00","67+6xlog Pn","67.00","6.00","68+6log Pn","68.00","6.00","Pnx0,09%xPn-0,30","0.090","-0.280","NULL","0"
"67","TV036_067","11","Classe 2","Avant 1978","1900","1977","NULL","0.00","9999.00","57+6xlog Pn","57.00","6.00","58+6xlog Pn","58.00","6.00","Pnx0,09%xPn-0,30","0.090","-0.280","NULL","0"
"68","TV036_068","11","Classe 1","Avant 1978","1900","1977","NULL","0.00","9999.00","47+6xlog Pn","47.00","6.00","48+6xlog Pn","48.00","6.00","Pnx0,09%xPn-0,30","0.090","-0.280","NULL","0"
"69","TV036_069","11","Classe 5","1978-1994","1978","1994","NULL","0.00","9999.00","87+log Pn","87.00","1.00","88+log Pn","88.00","1.00","Pnx0,075%xPn-0,30","0.075","-0.300","NULL","0"
"70","TV036_070","11","Classe 4","1978-1994","1978","1994","NULL","0.00","9999.00","80+2xlog Pn","80.00","2.00","81+2xlog Pn","81.00","2.00","Pnx0,075%xPn-0,30","0.075","-0.300","NULL","0"
"71","TV036_071","11","Classe 3","1978-1994","1978","1994","NULL","0.00","9999.00","67+6xlog Pn","67.00","6.00","68+6log Pn","68.00","6.00","Pnx0,075%xPn-0,30","0.075","-0.300","NULL","0"
"72","TV036_072","11","Classe 2","1978-1994","1978","1994","NULL","0.00","9999.00","57+6xlog Pn","57.00","6.00","58+6xlog Pn","58.00","6.00","Pnx0,075%xPn-0,30","0.075","-0.300","NULL","0"
"73","TV036_073","11","Classe 1","1978-1994","1978","1994","NULL","0.00","9999.00","47+6xlog Pn","47.00","6.00","48+6xlog Pn","48.00","6.00","Pnx0,075%xPn-0,30","0.075","-0.300","NULL","0"
"74","TV036_074","11","Classe 5","Après 1994","1995","2900","NULL","0.00","9999.00","87+log Pn","87.00","1.00","88+log Pn","88.00","1.00","Pnx0,085%xPn-0,30","0.085","-0.400","NULL","0"
"75","TV036_075","11","Classe 4","Après 1994","1995","2900","NULL","0.00","9999.00","80+2xlog Pn","80.00","2.00","81+2xlog Pn","81.00","2.00","Pnx0,085%xPn-0,30","0.085","-0.400","NULL","0"
"76","TV036_076","11","Classe 3","Après 1994","1995","2900","NULL","0.00","9999.00","67+6xlog Pn","67.00","6.00","68+6log Pn","68.00","6.00","Pnx0,085%xPn-0,30","0.085","-0.400","NULL","0"
"77","TV036_077","11","Classe 2","Après 1994","1995","2900","NULL","0.00","9999.00","57+6xlog Pn","57.00","6.00","58+6xlog Pn","58.00","6.00","Pnx0,085%xPn-0,30","0.085","-0.400","NULL","0"
"78","TV036_078","11","Classe 1","Après 1994","1995","2900","NULL","0.00","9999.00","47+6xlog Pn","47.00","6.00","48+6xlog Pn","48.00","6.00","Pnx0,085%xPn-0,30","0.085","-0.400","NULL","0"
