"id","type_chaudiere"
"1","Chaudière Gaz"
"2","Chaudière Fioul"
"3","Chauffe-eau gaz"
"4","Accumulateur gaz"
"5","Générateur d'air chaud"
"6","Radiateur à gaz"
"7","Chaudière bois"
"8","Chaudière atmosphérique à biomasse"
"9","Chaudière à biomasse assisté par ventilateur"
"10","Chaudière bois ou à biomasse atmosphérique"
"11","Chaudière bois ou à biomasse assisté par ventilate"
