"id","code","ph_isole","tv007_uph_type_toit_id","annee_construction","annee_construction_min","annee_construction_max","annee_isolation","annee_isolation_min","annee_isolation_max","tv017_zone_hiver_id","effet_joule","uph","est_efface"
"1","TV007_001","0","1","1948 à 1974","1948","1974","NULL","NULL","NULL","1","1","2.50","0"
"2","TV007_002","0","1","1974 à 1977","1975","1977","NULL","NULL","NULL","1","1","0.50","0"
"3","TV007_003","0","1","1977 à 1982","1978","1982","NULL","NULL","NULL","1","1","0.40","0"
"4","TV007_004","0","1","1982 à 1988","1983","1988","NULL","NULL","NULL","1","1","0.30","0"
"5","TV007_005","0","1","1988 à 2000","1989","2000","NULL","NULL","NULL","1","1","0.25","0"
"6","TV007_006","0","1","2000 à 2005","2001","2005","NULL","NULL","NULL","1","1","0.23","0"
"7","TV007_007","0","1","à partir de 2006","2006","2100","NULL","NULL","NULL","1","1","0.20","0"
"8","TV007_008","0","1","1948 à 1974","1948","1974","NULL","NULL","NULL","1","0","2.50","0"
"9","TV007_009","0","1","1974 à 1977","1975","1977","NULL","NULL","NULL","1","0","0.50","0"
"10","TV007_010","0","1","1977 à 1982","1978","1982","NULL","NULL","NULL","1","0","0.50","0"
"11","TV007_011","0","1","1982 à 1988","1983","1988","NULL","NULL","NULL","1","0","0.30","0"
"12","TV007_012","0","1","1988 à 2000","1989","2000","NULL","NULL","NULL","1","0","0.25","0"
"13","TV007_013","0","1","2000 à 2005","2001","2005","NULL","NULL","NULL","1","0","0.23","0"
"14","TV007_014","0","1","à partir de 2006","2006","2100","NULL","NULL","NULL","1","0","0.20","0"
"15","TV007_015","0","1","1948 à 1974","1948","1974","NULL","NULL","NULL","2","1","2.50","0"
"16","TV007_016","0","1","1974 à 1977","1975","1977","NULL","NULL","NULL","2","1","0.53","0"
"17","TV007_017","0","1","1977 à 1982","1978","1982","NULL","NULL","NULL","2","1","0.42","0"
"18","TV007_018","0","1","1982 à 1988","1983","1988","NULL","NULL","NULL","2","1","0.32","0"
"19","TV007_019","0","1","1988 à 2000","1989","2000","NULL","NULL","NULL","2","1","0.26","0"
"20","TV007_020","0","1","2000 à 2005","2001","2005","NULL","NULL","NULL","2","1","0.23","0"
"21","TV007_021","0","1","à partir de 2006","2006","2100","NULL","NULL","NULL","2","1","0.20","0"
"22","TV007_022","0","1","1948 à 1974","1948","1974","NULL","NULL","NULL","2","0","2.50","0"
"23","TV007_023","0","1","1974 à 1977","1975","1977","NULL","NULL","NULL","2","0","0.53","0"
"24","TV007_024","0","1","1977 à 1982","1978","1982","NULL","NULL","NULL","2","0","0.53","0"
"25","TV007_025","0","1","1982 à 1988","1983","1988","NULL","NULL","NULL","2","0","0.32","0"
"26","TV007_026","0","1","1988 à 2000","1989","2000","NULL","NULL","NULL","2","0","0.26","0"
"27","TV007_027","0","1","2000 à 2005","2001","2005","NULL","NULL","NULL","2","0","0.23","0"
"28","TV007_028","0","1","à partir de 2006","2006","2100","NULL","NULL","NULL","2","0","0.20","0"
"29","TV007_029","0","1","1948 à 1974","1948","1974","NULL","NULL","NULL","3","1","2.50","0"
"30","TV007_030","0","1","1974 à 1977","1975","1977","NULL","NULL","NULL","3","1","0.56","0"
"31","TV007_031","0","1","1977 à 1982","1978","1982","NULL","NULL","NULL","3","1","0.44","0"
"32","TV007_032","0","1","1982 à 1988","1983","1988","NULL","NULL","NULL","3","1","0.33","0"
"33","TV007_033","0","1","1988 à 2000","1989","2000","NULL","NULL","NULL","3","1","0.30","0"
"34","TV007_034","0","1","2000 à 2005","2001","2005","NULL","NULL","NULL","3","1","0.30","0"
"35","TV007_035","0","1","à partir de 2006","2006","2100","NULL","NULL","NULL","3","1","0.25","0"
"36","TV007_036","0","1","1948 à 1974","1948","1974","NULL","NULL","NULL","3","0","2.50","0"
"37","TV007_037","0","1","1974 à 1977","1975","1977","NULL","NULL","NULL","3","0","0.56","0"
"38","TV007_038","0","1","1977 à 1982","1978","1982","NULL","NULL","NULL","3","0","0.56","0"
"39","TV007_039","0","1","1982 à 1988","1983","1988","NULL","NULL","NULL","3","0","0.33","0"
"40","TV007_040","0","1","1988 à 2000","1989","2000","NULL","NULL","NULL","3","0","0.30","0"
"41","TV007_041","0","1","2000 à 2005","2001","2005","NULL","NULL","NULL","3","0","0.30","0"
"42","TV007_042","0","1","à partir de 2006","2006","2100","NULL","NULL","NULL","3","0","0.25","0"
"43","TV007_043","0","2","1948 à 1974","1948","1974","NULL","NULL","NULL","1","1","2.50","0"
"44","TV007_044","0","2","1974 à 1977","1975","1977","NULL","NULL","NULL","1","1","0.75","0"
"45","TV007_045","0","2","1977 à 1982","1978","1982","NULL","NULL","NULL","1","1","0.70","0"
"46","TV007_046","0","2","1982 à 1988","1983","1988","NULL","NULL","NULL","1","1","0.40","0"
"47","TV007_047","0","2","1988 à 2000","1989","2000","NULL","NULL","NULL","1","1","0.35","0"
"48","TV007_048","0","2","2000 à 2005","2001","2005","NULL","NULL","NULL","1","1","0.30","0"
"49","TV007_049","0","2","à partir de 2006","2006","2100","NULL","NULL","NULL","1","1","0.27","0"
"50","TV007_050","0","2","1948 à 1974","1948","1974","NULL","NULL","NULL","1","0","2.50","0"
"51","TV007_051","0","2","1974 à 1977","1975","1977","NULL","NULL","NULL","1","0","0.75","0"
"52","TV007_052","0","2","1977 à 1982","1978","1982","NULL","NULL","NULL","1","0","0.75","0"
"53","TV007_053","0","2","1982 à 1988","1983","1988","NULL","NULL","NULL","1","0","0.55","0"
"54","TV007_054","0","2","1988 à 2000","1989","2000","NULL","NULL","NULL","1","0","0.40","0"
"55","TV007_055","0","2","2000 à 2005","2001","2005","NULL","NULL","NULL","1","0","0.30","0"
"56","TV007_056","0","2","à partir de 2006","2006","2100","NULL","NULL","NULL","1","0","0.27","0"
"57","TV007_057","0","2","1948 à 1974","1948","1974","NULL","NULL","NULL","2","1","2.50","0"
"58","TV007_058","0","2","1974 à 1977","1975","1977","NULL","NULL","NULL","2","1","0.79","0"
"59","TV007_059","0","2","1977 à 1982","1978","1982","NULL","NULL","NULL","2","1","0.74","0"
"60","TV007_060","0","2","1982 à 1988","1983","1988","NULL","NULL","NULL","2","1","0.42","0"
"61","TV007_061","0","2","1988 à 2000","1989","2000","NULL","NULL","NULL","2","1","0.37","0"
"62","TV007_062","0","2","2000 à 2005","2001","2005","NULL","NULL","NULL","2","1","0.30","0"
"63","TV007_063","0","2","à partir de 2006","2006","2100","NULL","NULL","NULL","2","1","0.27","0"
"64","TV007_064","0","2","1948 à 1974","1948","1974","NULL","NULL","NULL","2","0","2.50","0"
"65","TV007_065","0","2","1974 à 1977","1975","1977","NULL","NULL","NULL","2","0","0.79","0"
"66","TV007_066","0","2","1977 à 1982","1978","1982","NULL","NULL","NULL","2","0","0.79","0"
"67","TV007_067","0","2","1982 à 1988","1983","1988","NULL","NULL","NULL","2","0","0.58","0"
"68","TV007_068","0","2","1988 à 2000","1989","2000","NULL","NULL","NULL","2","0","0.42","0"
