id,code,description,est_efface,simu_ordre,simulateur
1.0,TR004_001,"Bois, Biomasse",0.0,,1.0
2.0,TR004_002,Electricité,0.0,,1.0
3.0,TR004_003,Gaz,0.0,,1.0
4.0,TR004_004,Autres énergies,0.0,,1.0
5.0,TR004_005,Production d'électricité,0.0,,1.0
