"id","hauteur_alpha","simu_ordre","simulateur"
"1","Absence de masque","NULL","0"
"2","< 15","NULL","1"
"3","15 <=… < 30","NULL","1"
"4","30 <=… < 60","NULL","1"
"5","60 <=… < 90","NULL","1"
