"id","code","sclim_inf_150","sclim_sup_150","rclim_autres_etages","rclim_dernier_etage"
"1","Ea","2","4","1.50","2"
"2","Eb","3","5","2.00","3"
"3","Ec","4","6","3.00","4"
"4","Ed","5","7","4.00","5"
