"id","code","tv013_valeur_pont_thermique_type_liaison_id","tv013_valeur_pont_thermique_isolation_mur_id","tv013_valeur_pont_thermique_isolation_planche_bas_id","largeur_dormant","tv013_valeur_pont_thermique_type_pose_id","tv013_valeur_pont_thermique_retour_isolation_id","k","est_efface"
"33","TV013_033","4","4","NULL","NULL","NULL","NULL","0.13","0"
"34","TV013_034","4","5","NULL","NULL","NULL","NULL","0.24","0"
"35","TV013_035","4","2","NULL","NULL","NULL","NULL","0.13","0"
"36","TV013_036","3","7","4","NULL","NULL","NULL","0.30","0"
"37","TV013_037","3","7","3","NULL","NULL","NULL","0.83","0"
"38","TV013_038","3","7","1","NULL","NULL","NULL","0.40","0"
"39","TV013_039","3","7","2","NULL","NULL","NULL","0.40","0"
"40","TV013_040","3","3","4","NULL","NULL","NULL","0.27","0"
"41","TV013_041","3","3","3","NULL","NULL","NULL","0.07","0"
"42","TV013_042","3","3","1","NULL","NULL","NULL","0.75","0"
"43","TV013_043","3","3","2","NULL","NULL","NULL","0.07","0"
"44","TV013_044","3","1","4","NULL","NULL","NULL","0.55","0"
"45","TV013_045","3","1","3","NULL","NULL","NULL","0.76","0"
"46","TV013_046","3","1","1","NULL","NULL","NULL","0.58","0"
"47","TV013_047","3","1","2","NULL","NULL","NULL","0.58","0"
"48","TV013_048","3","6","4","NULL","NULL","NULL","0.40","0"
"49","TV013_049","3","6","3","NULL","NULL","NULL","0.30","0"
"50","TV013_050","3","6","1","NULL","NULL","NULL","0.48","0"
"51","TV013_051","3","6","2","NULL","NULL","NULL","0.30","0"
"52","TV013_052","3","4","4","NULL","NULL","NULL","0.27","0"
"53","TV013_053","3","4","3","NULL","NULL","NULL","0.07","0"
"54","TV013_054","3","4","1","NULL","NULL","NULL","0.58","0"
"55","TV013_055","3","4","2","NULL","NULL","NULL","0.07","0"
"56","TV013_056","3","5","4","NULL","NULL","NULL","0.27","0"
"57","TV013_057","3","5","3","NULL","NULL","NULL","0.07","0"
"58","TV013_058","3","5","1","NULL","NULL","NULL","0.48","0"
