"id","type_generateur"
"1","Electrique classique"
"2","Electrique thermodinamyque"
"3","Autres types de chauffe-eau"
"4","Réseau collectif non isolé"
"5","Réseau collectif isolé"
"6","Générateur à combustion en l'absence DPE à l'immeu"
