,Code,Ph Isolé,Type  de Toit,Année construction,Année isolation,Zone Hiver,Effet Joule,Uph
51,TV007_052,Inconnu,Terrasse,1977 à 1982,,H1,non,0.75
52,TV007_053,Inconnu,Terrasse,1982 à 1988,,H1,non,0.55
53,TV007_054,Inconnu,Terrasse,1988 à 2000,,H1,non,0.4
54,TV007_055,Inconnu,Terrasse,2000 à 2005,,H1,non,0.3
55,TV007_056,Inconnu,Terrasse,à partir de 2006,,H1,non,0.27
56,TV007_057,Inconnu,Terrasse,1948 à 1974,,H2,oui,2.5
57,TV007_058,Inconnu,Terrasse,1974 à 1977,,H2,oui,0.79
58,TV007_059,Inconnu,Terrasse,1977 à 1982,,H2,oui,0.74
59,TV007_060,Inconnu,Terrasse,1982 à 1988,,H2,oui,0.42
60,TV007_061,Inconnu,Terrasse,1988 à 2000,,H2,oui,0.37
61,TV007_062,Inconnu,Terrasse,2000 à 2005,,H2,oui,0.3
62,TV007_063,Inconnu,Terrasse,à partir de 2006,,H2,oui,0.27
63,TV007_064,Inconnu,Terrasse,1948 à 1974,,H2,non,2.5
64,TV007_065,Inconnu,Terrasse,1974 à 1977,,H2,non,0.79
65,TV007_066,Inconnu,Terrasse,1977 à 1982,,H2,non,0.79
66,TV007_067,Inconnu,Terrasse,1982 à 1988,,H2,non,0.58
67,TV007_068,Inconnu,Terrasse,1988 à 2000,,H2,non,0.42
68,TV007_069,Inconnu,Terrasse,2000 à 2005,,H2,non,0.3
69,TV007_070,Inconnu,Terrasse,à partir de 2006,,H2,non,0.27
70,TV007_071,Inconnu,Terrasse,1948 à 1974,,H3,oui,2.5
71,TV007_072,Inconnu,Terrasse,1974 à 1977,,H3,oui,0.83
72,TV007_073,Inconnu,Terrasse,1977 à 1982,,H3,oui,0.78
73,TV007_074,Inconnu,Terrasse,1982 à 1988,,H3,oui,0.44
74,TV007_075,Inconnu,Terrasse,1988 à 2000,,H3,oui,0.39
75,TV007_076,Inconnu,Terrasse,2000 à 2005,,H3,oui,0.3
76,TV007_077,Inconnu,Terrasse,à partir de 2006,,H3,oui,0.27
77,TV007_078,Inconnu,Terrasse,1948 à 1974,,H3,non,2.5
78,TV007_079,Inconnu,Terrasse,1974 à 1977,,H3,non,0.83
79,TV007_080,Inconnu,Terrasse,1977 à 1982,,H3,non,0.83
80,TV007_081,Inconnu,Terrasse,1982 à 1988,,H3,non,0.61
81,TV007_082,Inconnu,Terrasse,1988 à 2000,,H3,non,0.44
82,TV007_083,Inconnu,Terrasse,2000 à 2005,,H3,non,0.3
83,TV007_084,Inconnu,Terrasse,à partir de 2006,,H3,non,0.27
84,TV007_085,Non,,,,,,2.5
85,TV007_086,Oui,Combles perdus,jusqu'à 1988,,,,0.43
86,TV007_087,Oui,Combles perdus,de 1989 à 2000,,,,0.23
87,TV007_088,Oui,Combles perdus,à partir de 2000,,,,0.19
88,TV007_089,Oui,Combles aménagés,jusqu'à 1988,,,,0.61
89,TV007_090,Oui,Combles aménagés,de 1989 à 2000,,,,0.38
90,TV007_091,Oui,Combles aménagés,à partir de 2000,,,,0.27
91,TV007_092,Oui,Toiture Terrasse,jusqu'à 1988,,,,1.0
92,TV007_093,Oui,Toiture Terrasse,de 1989 à 2000,,,,0.5
93,TV007_094,Oui,Toiture Terrasse,à partir de 2000,,,,0.3
94,TV007_095,Oui,Combles,,de 1975 à 1977,H1,,0.5
95,TV007_096,Oui,Combles,,de 1978 à 1982,H1,,0.4
96,TV007_097,Oui,Combles,,de 1983 à 1988,H1,,0.3
97,TV007_098,Oui,Combles,,de 1989 à 2000,H1,,0.25
98,TV007_099,Oui,Combles,,de 2001 à 2005,H1,,0.23
99,TV007_100,Oui,Combles,,à partir de 2006,H1,,0.2
100,TV007_101,Oui,Combles,,de 1975 à 1977,H2,,0.53
101,TV007_102,Oui,Combles,,de 1978 à 1982,H2,,0.42
102,TV007_103,Oui,Combles,,de 1983 à 1988,H2,,0.32
103,TV007_104,Oui,Combles,,de 1989 à 2000,H2,,0.26
104,TV007_105,Oui,Combles,,de 2001 à 2005,H2,,0.23
105,TV007_106,Oui,Combles,,à partir de 2006,H2,,0.2
106,TV007_107,Oui,Combles,,de 1975 à 1977,H3,,0.56
107,TV007_108,Oui,Combles,,de 1978 à 1982,H3,,0.44
108,TV007_109,Oui,Combles,,de 1983 à 1988,H3,,0.33
109,TV007_110,Oui,Combles,,de 1989 à 2000,H3,,0.3
110,TV007_111,Oui,Combles,,de 2001 à 2005,H3,,0.3
111,TV007_112,Oui,Combles,,à partir de 2006,H3,,0.25
112,TV007_113,Oui,Terrasse,,de 1975 à 1977,H1,,0.75
113,TV007_114,Oui,Terrasse,,de 1978 à 1982,H1,,0.7
114,TV007_115,Oui,Terrasse,,de 1983 à 1988,H1,,0.4
115,TV007_116,Oui,Terrasse,,de 1989 à 2000,H1,,0.35
116,TV007_117,Oui,Terrasse,,de 2001 à 2005,H1,,0.3
117,TV007_118,Oui,Terrasse,,à partir de 2006,H1,,0.27
