"id","plancher_bas","simu_ordre","simulateur","simulateur_ameliorations"
"1","ITE","2","1","1"
"2","ITE+ITI","3","1","1"
"3","ITI","4","1","1"
"4","Non isolé","5","1","0"
"5","Inconnu","1","1","0"
