"id","materiaux","simu_ordre","simulateur"
"1","Inconnu","NULL","1"
"2","Murs en pierre de taille et moellons constitué d'un seul matériaux","NULL","1"
"3","Murs en pierre de taille et moellons avec remplissage tout venant","NULL","1"
"4","Murs en pisé ou béton de terre stabilisé (à partir d'argile crue)","NULL","1"
"5","Murs en pan de bois sans remplissage tout venant","NULL","1"
"6","Murs en pan de bois avec remplissage tout venant","NULL","1"
"7","Murs bois (rondin)","NULL","1"
"8","Murs en briques pleines simples","NULL","1"
"9","Murs en briques pleines doubles avec lame d'air","NULL","1"
"10","Murs en briques creuses","NULL","1"
"11","Murs en blocs de béton pleins","NULL","1"
"12","Murs en blocs de béton creux","NULL","1"
"13","Murs en béton banché","NULL","1"
"14","Murs en béton de mâchefer","NULL","1"
"15","Monomur terre cuite","NULL","1"
"16","Béton cellulaire","NULL","1"
"17","Cloison de plâtre","NULL","1"
