"id","code","tv026_classe_inertie_plancher_bas_id","tv026_classe_inertie_plancher_haut_id","tv026_classe_inertie_paroi_verticale_id","tv026_classe_inertie_classe_inertie_id","est_efface"
"1","TV026_001","1","1","3","5","0"
"2","TV026_002","2","1","3","3","0"
"3","TV026_003","1","2","3","3","0"
"4","TV026_004","1","1","4","3","0"
"5","TV026_005","2","2","3","6","0"
"6","TV026_006","2","1","4","6","0"
"7","TV026_007","1","2","4","6","0"
"8","TV026_008","2","2","4","4","0"
