,code,aiu_aue,aiu_aue_min,aiu_aue_max,uv_ue,aue_isole,aiu_isole,valeur,est_efface
193,TV001_194,"10,00 <  ? 25,00",10.0,25.0,9.0,1.0,0.0,0.2,0
194,TV001_195,"25,00 <  ? 50",25.0,50.0,9.0,1.0,0.0,0.1,0
195,TV001_196,"50,00 <",50.0,,9.0,1.0,0.0,0.05,0
196,TV001_197,"? 0,25",,0.25,0.0,1.0,1.0,0.8,0
197,TV001_198,"0,25 <  ? 0,50",0.25,0.5,0.0,1.0,1.0,0.65,0
198,TV001_199,"0,50 <  ? 0,75",0.5,0.75,0.0,1.0,1.0,0.55,0
199,TV001_200,"0,75 <  ? 1,00",0.75,1.0,0.0,1.0,1.0,0.5,0
200,TV001_201,"1,00 <  ? 1,25",1.0,1.25,0.0,1.0,1.0,0.45,0
201,TV001_202,"1,25 <  ? 2,00",1.25,2.0,0.0,1.0,1.0,0.35,0
202,TV001_203,"2,00 <  ? 2,50",2.0,2.5,0.0,1.0,1.0,0.3,0
203,TV001_204,"2,50 <  ? 3,00",2.5,3.0,0.0,1.0,1.0,0.25,0
204,TV001_205,"3,00 <  ? 3,50",3.0,3.5,0.0,1.0,1.0,0.2,0
205,TV001_206,"3,50 <  ? 4,00",3.5,4.0,0.0,1.0,1.0,0.2,0
206,TV001_207,"4,00 <  ? 6,00",4.0,6.0,0.0,1.0,1.0,0.15,0
207,TV001_208,"6,00 <  ? 8,00",6.0,8.0,0.0,1.0,1.0,0.1,0
208,TV001_209,"8,00 <  ? 10,00",8.0,10.0,0.0,1.0,1.0,0.1,0
209,TV001_210,"10,00 <  ? 25,00",10.0,25.0,0.0,1.0,1.0,0.05,0
210,TV001_211,"25,00 <  ? 50",25.0,50.0,0.0,1.0,1.0,0.05,0
211,TV001_212,"50,00 <",50.0,,0.0,1.0,1.0,0.0,0
212,TV001_213,"? 0,25",,0.25,0.3,1.0,1.0,0.9,0
213,TV001_214,"0,25 <  ? 0,50",0.25,0.5,0.3,1.0,1.0,0.8,0
214,TV001_215,"0,50 <  ? 0,75",0.5,0.75,0.3,1.0,1.0,0.7,0
215,TV001_216,"0,75 <  ? 1,00",0.75,1.0,0.3,1.0,1.0,0.65,0
216,TV001_217,"1,00 <  ? 1,25",1.0,1.25,0.3,1.0,1.0,0.6,0
217,TV001_218,"1,25 <  ? 2,00",1.25,2.0,0.3,1.0,1.0,0.45,0
218,TV001_219,"2,00 <  ? 2,50",2.0,2.5,0.3,1.0,1.0,0.4,0
219,TV001_220,"2,50 <  ? 3,00",2.5,3.0,0.3,1.0,1.0,0.35,0
220,TV001_221,"3,00 <  ? 3,50",3.0,3.5,0.3,1.0,1.0,0.35,0
221,TV001_222,"3,50 <  ? 4,00",3.5,4.0,0.3,1.0,1.0,0.3,0
222,TV001_223,"4,00 <  ? 6,00",4.0,6.0,0.3,1.0,1.0,0.25,0
223,TV001_224,"6,00 <  ? 8,00",6.0,8.0,0.3,1.0,1.0,0.2,0
224,TV001_225,"8,00 <  ? 10,00",8.0,10.0,0.3,1.0,1.0,0.15,0
225,TV001_226,"10,00 <  ? 25,00",10.0,25.0,0.3,1.0,1.0,0.1,0
226,TV001_227,"25,00 <  ? 50",25.0,50.0,0.3,1.0,1.0,0.05,0
227,TV001_228,"50,00 <",50.0,,0.3,1.0,1.0,0.05,0
228,TV001_229,"? 0,25",,0.25,3.0,1.0,1.0,0.95,0
229,TV001_230,"0,25 <  ? 0,50",0.25,0.5,3.0,1.0,1.0,0.95,0
230,TV001_231,"0,50 <  ? 0,75",0.5,0.75,3.0,1.0,1.0,0.9,0
231,TV001_232,"0,75 <  ? 1,00",0.75,1.0,3.0,1.0,1.0,0.9,0
232,TV001_233,"1,00 <  ? 1,25",1.0,1.25,3.0,1.0,1.0,0.9,0
233,TV001_234,"1,25 <  ? 2,00",1.25,2.0,3.0,1.0,1.0,0.8,0
234,TV001_235,"2,00 <  ? 2,50",2.0,2.5,3.0,1.0,1.0,0.8,0
235,TV001_236,"2,50 <  ? 3,00",2.5,3.0,3.0,1.0,1.0,0.75,0
236,TV001_237,"3,00 <  ? 3,50",3.0,3.5,3.0,1.0,1.0,0.7,0
237,TV001_238,"3,50 <  ? 4,00",3.5,4.0,3.0,1.0,1.0,0.7,0
238,TV001_239,"4,00 <  ? 6,00",4.0,6.0,3.0,1.0,1.0,0.6,0
239,TV001_240,"6,00 <  ? 8,00",6.0,8.0,3.0,1.0,1.0,0.55,0
240,TV001_241,"8,00 <  ? 10,00",8.0,10.0,3.0,1.0,1.0,0.45,0
241,TV001_242,"10,00 <  ? 25,00",10.0,25.0,3.0,1.0,1.0,0.4,0
242,TV001_243,"25,00 <  ? 50",25.0,50.0,3.0,1.0,1.0,0.25,0
243,TV001_244,"50,00 <",50.0,,3.0,1.0,1.0,0.1,0
244,TV001_245,"? 0,25",,0.25,9.0,1.0,1.0,1.0,0
245,TV001_246,"0,25 <  ? 0,50",0.25,0.5,9.0,1.0,1.0,1.0,0
246,TV001_247,"0,50 <  ? 0,75",0.5,0.75,9.0,1.0,1.0,0.95,0
247,TV001_248,"0,75 <  ? 1,00",0.75,1.0,9.0,1.0,1.0,0.95,0
248,TV001_249,"1,00 <  ? 1,25",1.0,1.25,9.0,1.0,1.0,0.95,0
249,TV001_250,"1,25 <  ? 2,00",1.25,2.0,9.0,1.0,1.0,0.95,0
250,TV001_251,"2,00 <  ? 2,50",2.0,2.5,9.0,1.0,1.0,0.9,0
251,TV001_252,"2,50 <  ? 3,00",2.5,3.0,9.0,1.0,1.0,0.9,0
252,TV001_253,"3,00 <  ? 3,50",3.0,3.5,9.0,1.0,1.0,0.9,0
253,TV001_254,"3,50 <  ? 4,00",3.5,4.0,9.0,1.0,1.0,0.85,0
254,TV001_255,"4,00 <  ? 6,00",4.0,6.0,9.0,1.0,1.0,0.8,0
255,TV001_256,"6,00 <  ? 8,00",6.0,8.0,9.0,1.0,1.0,0.75,0
256,TV001_257,"8,00 <  ? 10,00",8.0,10.0,9.0,1.0,1.0,0.7,0
257,TV001_258,"10,00 <  ? 25,00",10.0,25.0,9.0,1.0,1.0,0.65,0
258,TV001_259,"25,00 <  ? 50",25.0,50.0,9.0,1.0,1.0,0.45,0
259,TV001_260,"50,00 <",50.0,,9.0,1.0,1.0,0.3,0
260,TV001_261,Terre-plein,,,,,,1.0,0
261,TV001_262,Aue = 0,,,,,,0.0,0
