,Code,Type de vitrage,Orientation,Remplissage,Epaisseur Lame,Traitement du vitrage,Ug
0,TV009_001,Simple vitrage,,,,,5.8
1,TV009_002,Double vitrage,Verticale,Air Sec,6.0,Non Traités,3.3
2,TV009_003,Double vitrage,Verticale,Air Sec,8.0,Non Traités,3.1
3,TV009_004,Double vitrage,Verticale,Air Sec,10.0,Non Traités,2.9
4,TV009_005,Double vitrage,Verticale,Air Sec,12.0,Non Traités,2.8
5,TV009_006,Double vitrage,Verticale,Air Sec,14.0,Non Traités,2.8
6,TV009_007,Double vitrage,Verticale,Air Sec,15.0,Non Traités,2.7
7,TV009_008,Double vitrage,Verticale,Air Sec,16.0,Non Traités,2.7
8,TV009_009,Double vitrage,Verticale,Air Sec,18.0,Non Traités,2.7
9,TV009_010,Double vitrage,Verticale,Air Sec,20.0,Non Traités,2.7
10,TV009_011,Double vitrage,Verticale,Air Sec,6.0,A isolation Thermique renforcé,2.8
11,TV009_012,Double vitrage,Verticale,Air Sec,8.0,A isolation Thermique renforcé,2.5
12,TV009_013,Double vitrage,Verticale,Air Sec,10.0,A isolation Thermique renforcé,2.3
13,TV009_014,Double vitrage,Verticale,Air Sec,12.0,A isolation Thermique renforcé,2.2
14,TV009_015,Double vitrage,Verticale,Air Sec,14.0,A isolation Thermique renforcé,2.1
15,TV009_016,Double vitrage,Verticale,Air Sec,15.0,A isolation Thermique renforcé,2.0
16,TV009_017,Double vitrage,Verticale,Air Sec,16.0,A isolation Thermique renforcé,2.0
17,TV009_018,Double vitrage,Verticale,Air Sec,18.0,A isolation Thermique renforcé,2.0
18,TV009_019,Double vitrage,Verticale,Air Sec,20.0,A isolation Thermique renforcé,2.0
19,TV009_020,Double vitrage,Verticale,Argon ou Krypton,6.0,Non Traités,3.1
20,TV009_021,Double vitrage,Verticale,Argon ou Krypton,8.0,Non Traités,2.9
21,TV009_022,Double vitrage,Verticale,Argon ou Krypton,10.0,Non Traités,2.8
22,TV009_023,Double vitrage,Verticale,Argon ou Krypton,12.0,Non Traités,2.7
23,TV009_024,Double vitrage,Verticale,Argon ou Krypton,14.0,Non Traités,2.6
24,TV009_025,Double vitrage,Verticale,Argon ou Krypton,15.0,Non Traités,2.6
25,TV009_026,Double vitrage,Verticale,Argon ou Krypton,16.0,Non Traités,2.6
26,TV009_027,Double vitrage,Verticale,Argon ou Krypton,18.0,Non Traités,2.6
27,TV009_028,Double vitrage,Verticale,Argon ou Krypton,20.0,Non Traités,2.6
28,TV009_029,Double vitrage,Verticale,Argon ou Krypton,6.0,A isolation Thermique renforcé,2.5
29,TV009_030,Double vitrage,Verticale,Argon ou Krypton,8.0,A isolation Thermique renforcé,2.3
30,TV009_031,Double vitrage,Verticale,Argon ou Krypton,10.0,A isolation Thermique renforcé,2.1
31,TV009_032,Double vitrage,Verticale,Argon ou Krypton,12.0,A isolation Thermique renforcé,2.0
32,TV009_033,Double vitrage,Verticale,Argon ou Krypton,14.0,A isolation Thermique renforcé,1.9
33,TV009_034,Double vitrage,Verticale,Argon ou Krypton,15.0,A isolation Thermique renforcé,1.9
34,TV009_035,Double vitrage,Verticale,Argon ou Krypton,16.0,A isolation Thermique renforcé,1.9
35,TV009_036,Double vitrage,Verticale,Argon ou Krypton,18.0,A isolation Thermique renforcé,1.9
36,TV009_037,Double vitrage,Verticale,Argon ou Krypton,20.0,A isolation Thermique renforcé,1.9
37,TV009_038,Double vitrage,Horizontale,Air Sec,6.0,Non Traités,3.6
38,TV009_039,Double vitrage,Horizontale,Air Sec,8.0,Non Traités,3.5
39,TV009_040,Double vitrage,Horizontale,Air Sec,10.0,Non Traités,3.4
40,TV009_041,Double vitrage,Horizontale,Air Sec,12.0,Non Traités,3.4
41,TV009_042,Double vitrage,Horizontale,Air Sec,14.0,Non Traités,3.4
42,TV009_043,Double vitrage,Horizontale,Air Sec,15.0,Non Traités,3.4
43,TV009_044,Double vitrage,Horizontale,Air Sec,16.0,Non Traités,3.4
44,TV009_045,Double vitrage,Horizontale,Air Sec,18.0,Non Traités,3.4
45,TV009_046,Double vitrage,Horizontale,Air Sec,20.0,Non Traités,3.3
46,TV009_047,Double vitrage,Horizontale,Air Sec,6.0,A isolation Thermique renforcé,3.1
47,TV009_048,Double vitrage,Horizontale,Air Sec,8.0,A isolation Thermique renforcé,2.8
48,TV009_049,Double vitrage,Horizontale,Air Sec,10.0,A isolation Thermique renforcé,2.8
49,TV009_050,Double vitrage,Horizontale,Air Sec,12.0,A isolation Thermique renforcé,2.8
50,TV009_051,Double vitrage,Horizontale,Air Sec,14.0,A isolation Thermique renforcé,2.7
51,TV009_052,Double vitrage,Horizontale,Air Sec,15.0,A isolation Thermique renforcé,2.7
52,TV009_053,Double vitrage,Horizontale,Air Sec,16.0,A isolation Thermique renforcé,2.7
53,TV009_054,Double vitrage,Horizontale,Air Sec,18.0,A isolation Thermique renforcé,2.7
54,TV009_055,Double vitrage,Horizontale,Air Sec,20.0,A isolation Thermique renforcé,2.7
55,TV009_056,Double vitrage,Horizontale,Argon ou Krypton,6.0,Non Traités,3.4
56,TV009_057,Double vitrage,Horizontale,Argon ou Krypton,8.0,Non Traités,3.3
57,TV009_058,Double vitrage,Horizontale,Argon ou Krypton,10.0,Non Traités,3.2
58,TV009_059,Double vitrage,Horizontale,Argon ou Krypton,12.0,Non Traités,3.2
59,TV009_060,Double vitrage,Horizontale,Argon ou Krypton,14.0,Non Traités,3.2
60,TV009_061,Double vitrage,Horizontale,Argon ou Krypton,15.0,Non Traités,3.2
61,TV009_062,Double vitrage,Horizontale,Argon ou Krypton,16.0,Non Traités,3.2
62,TV009_063,Double vitrage,Horizontale,Argon ou Krypton,18.0,Non Traités,3.2
63,TV009_064,Double vitrage,Horizontale,Argon ou Krypton,20.0,Non Traités,3.2
64,TV009_065,Double vitrage,Horizontale,Argon ou Krypton,6.0,A isolation Thermique renforcé,2.7
65,TV009_066,Double vitrage,Horizontale,Argon ou Krypton,8.0,A isolation Thermique renforcé,2.6
66,TV009_067,Double vitrage,Horizontale,Argon ou Krypton,10.0,A isolation Thermique renforcé,2.5
67,TV009_068,Double vitrage,Horizontale,Argon ou Krypton,12.0,A isolation Thermique renforcé,2.5
68,TV009_069,Double vitrage,Horizontale,Argon ou Krypton,14.0,A isolation Thermique renforcé,2.5
69,TV009_070,Double vitrage,Horizontale,Argon ou Krypton,15.0,A isolation Thermique renforcé,2.5
70,TV009_071,Double vitrage,Horizontale,Argon ou Krypton,16.0,A isolation Thermique renforcé,2.4
71,TV009_072,Double vitrage,Horizontale,Argon ou Krypton,18.0,A isolation Thermique renforcé,2.4
72,TV009_073,Double vitrage,Horizontale,Argon ou Krypton,20.0,A isolation Thermique renforcé,2.4
73,TV009_074,Triple vitrage,Verticale,Air Sec,6.0,Non Traités,2.3
74,TV009_075,Triple vitrage,Verticale,Air Sec,8.0,Non Traités,2.1
75,TV009_076,Triple vitrage,Verticale,Air Sec,10.0,Non Traités,2.0
76,TV009_077,Triple vitrage,Verticale,Air Sec,12.0,Non Traités,1.9
77,TV009_078,Triple vitrage,Verticale,Air Sec,14.0,Non Traités,1.8
78,TV009_079,Triple vitrage,Verticale,Air Sec,15.0,Non Traités,1.8
79,TV009_080,Triple vitrage,Verticale,Air Sec,16.0,Non Traités,1.8
80,TV009_081,Triple vitrage,Verticale,Air Sec,6.0,A isolation Thermique renforcé,1.7
81,TV009_082,Triple vitrage,Verticale,Air Sec,8.0,A isolation Thermique renforcé,1.5
82,TV009_083,Triple vitrage,Verticale,Air Sec,10.0,A isolation Thermique renforcé,1.3
83,TV009_084,Triple vitrage,Verticale,Air Sec,12.0,A isolation Thermique renforcé,1.2
84,TV009_085,Triple vitrage,Verticale,Air Sec,14.0,A isolation Thermique renforcé,1.1
85,TV009_086,Triple vitrage,Verticale,Air Sec,15.0,A isolation Thermique renforcé,1.0
86,TV009_087,Triple vitrage,Verticale,Air Sec,16.0,A isolation Thermique renforcé,1.0
87,TV009_088,Triple vitrage,Verticale,Argon ou Krypton,6.0,Non Traités,2.1
88,TV009_089,Triple vitrage,Verticale,Argon ou Krypton,8.0,Non Traités,1.9
89,TV009_090,Triple vitrage,Verticale,Argon ou Krypton,10.0,Non Traités,1.8
90,TV009_091,Triple vitrage,Verticale,Argon ou Krypton,12.0,Non Traités,1.8
91,TV009_092,Triple vitrage,Verticale,Argon ou Krypton,14.0,Non Traités,1.7
92,TV009_093,Triple vitrage,Verticale,Argon ou Krypton,15.0,Non Traités,1.7
93,TV009_094,Triple vitrage,Verticale,Argon ou Krypton,16.0,Non Traités,1.7
94,TV009_095,Triple vitrage,Verticale,Argon ou Krypton,6.0,A isolation Thermique renforcé,1.4
95,TV009_096,Triple vitrage,Verticale,Argon ou Krypton,8.0,A isolation Thermique renforcé,1.2
96,TV009_097,Triple vitrage,Verticale,Argon ou Krypton,10.0,A isolation Thermique renforcé,1.1
97,TV009_098,Triple vitrage,Verticale,Argon ou Krypton,12.0,A isolation Thermique renforcé,1.0
98,TV009_099,Triple vitrage,Verticale,Argon ou Krypton,14.0,A isolation Thermique renforcé,0.9
99,TV009_100,Triple vitrage,Verticale,Argon ou Krypton,15.0,A isolation Thermique renforcé,0.9
100,TV009_101,Triple vitrage,Verticale,Argon ou Krypton,16.0,A isolation Thermique renforcé,0.8
101,TV009_102,Triple vitrage,Horizontale,Air Sec,6.0,Non Traités,2.5
102,TV009_103,Triple vitrage,Horizontale,Air Sec,8.0,Non Traités,2.2
103,TV009_104,Triple vitrage,Horizontale,Air Sec,10.0,Non Traités,2.1
104,TV009_105,Triple vitrage,Horizontale,Air Sec,12.0,Non Traités,2.1
105,TV009_106,Triple vitrage,Horizontale,Air Sec,14.0,Non Traités,2.1
106,TV009_107,Triple vitrage,Horizontale,Air Sec,15.0,Non Traités,2.1
107,TV009_108,Triple vitrage,Horizontale,Air Sec,16.0,Non Traités,2.1
108,TV009_109,Triple vitrage,Horizontale,Air Sec,6.0,A isolation Thermique renforcé,1.8
109,TV009_110,Triple vitrage,Horizontale,Air Sec,8.0,A isolation Thermique renforcé,1.5
110,TV009_111,Triple vitrage,Horizontale,Air Sec,10.0,A isolation Thermique renforcé,1.4
111,TV009_112,Triple vitrage,Horizontale,Air Sec,12.0,A isolation Thermique renforcé,1.4
112,TV009_113,Triple vitrage,Horizontale,Air Sec,14.0,A isolation Thermique renforcé,1.3
113,TV009_114,Triple vitrage,Horizontale,Air Sec,15.0,A isolation Thermique renforcé,1.3
114,TV009_115,Triple vitrage,Horizontale,Air Sec,16.0,A isolation Thermique renforcé,1.3
115,TV009_116,Triple vitrage,Horizontale,Argon ou Krypton,6.0,Non Traités,2.2
116,TV009_117,Triple vitrage,Horizontale,Argon ou Krypton,8.0,Non Traités,2.1
117,TV009_118,Triple vitrage,Horizontale,Argon ou Krypton,10.0,Non Traités,2.0
118,TV009_119,Triple vitrage,Horizontale,Argon ou Krypton,12.0,Non Traités,2.0
119,TV009_120,Triple vitrage,Horizontale,Argon ou Krypton,14.0,Non Traités,2.0
120,TV009_121,Triple vitrage,Horizontale,Argon ou Krypton,15.0,Non Traités,2.0
121,TV009_122,Triple vitrage,Horizontale,Argon ou Krypton,16.0,Non Traités,2.0
122,TV009_123,Triple vitrage,Horizontale,Argon ou Krypton,6.0,A isolation Thermique renforcé,1.5
123,TV009_124,Triple vitrage,Horizontale,Argon ou Krypton,8.0,A isolation Thermique renforcé,1.3
124,TV009_125,Triple vitrage,Horizontale,Argon ou Krypton,10.0,A isolation Thermique renforcé,1.2
125,TV009_126,Triple vitrage,Horizontale,Argon ou Krypton,12.0,A isolation Thermique renforcé,1.2
126,TV009_127,Triple vitrage,Horizontale,Argon ou Krypton,14.0,A isolation Thermique renforcé,1.1
127,TV009_128,Triple vitrage,Horizontale,Argon ou Krypton,15.0,A isolation Thermique renforcé,1.1
128,TV009_129,Triple vitrage,Horizontale,Argon ou Krypton,16.0,A isolation Thermique renforcé,1.1
