,Code,Type de Chaudière,Période Chaudière,Température de distribution,Type d'émetteur,Période Emetteur,Tfonc30
0,TV035_001,Chaudière à condensation,,Basse,Plancher basse température,Avant 1981,32.0
1,TV035_002,Chaudière à condensation,,Basse,Plancher basse température,Entre 1981 et 2000,24.5
2,TV035_003,Chaudière à condensation,,Basse,Plancher basse température,Après 2000,24.5
3,TV035_004,Chaudière à condensation,,Moyenne,Radiateur à chaleur douce,Avant 1981,38.0
4,TV035_005,Chaudière à condensation,,Moyenne,Radiateur à chaleur douce,Entre 1981 et 2000,35.0
5,TV035_006,Chaudière à condensation,,Moyenne,Radiateur à chaleur douce,Après 2000,32.0
6,TV035_007,Chaudière à condensation,,Haute,Autres émetteurs,Avant 1981,38.0
7,TV035_008,Chaudière à condensation,,Haute,Autres émetteurs,Entre 1981 et 2000,35.0
8,TV035_009,Chaudière à condensation,,Haute,Autres émetteurs,Après 2000,35.0
9,TV035_010,Chaudière basse température,,Basse,Plancher basse température,Avant 1981,42.5
10,TV035_011,Chaudière basse température,,Basse,Plancher basse température,Entre 1981 et 2000,35.0
11,TV035_012,Chaudière basse température,,Basse,Plancher basse température,Après 2000,35.0
12,TV035_013,Chaudière basse température,,Moyenne,Radiateur à chaleur douce,Avant 1981,48.5
13,TV035_014,Chaudière basse température,,Moyenne,Radiateur à chaleur douce,Entre 1981 et 2000,45.5
14,TV035_015,Chaudière basse température,,Moyenne,Radiateur à chaleur douce,Après 2000,42.5
15,TV035_016,Chaudière basse température,,Haute,Autres émetteurs,Avant 1981,48.5
16,TV035_017,Chaudière basse température,,Haute,Autres émetteurs,Entre 1981 et 2000,45.5
17,TV035_018,Chaudière basse température,,Haute,Autres émetteurs,Après 2000,45.5
18,TV035_019,Chaudière standard ou classique,Jusqu'en 1990,Basse,Plancher basse température,Avant 1981,53.0
19,TV035_020,Chaudière standard ou classique,Jusqu'en 1990,Basse,Plancher basse température,Entre 1981 et 2000,50.0
20,TV035_021,Chaudière standard ou classique,Jusqu'en 1990,Basse,Plancher basse température,Après 2000,50.0
21,TV035_022,Chaudière standard ou classique,Jusqu'en 1990,Moyenne,Radiateur à chaleur douce,Avant 1981,59.0
22,TV035_023,Chaudière standard ou classique,Jusqu'en 1990,Moyenne,Radiateur à chaleur douce,Entre 1981 et 2000,56.0
23,TV035_024,Chaudière standard ou classique,Jusqu'en 1990,Moyenne,Radiateur à chaleur douce,Après 2000,53.0
24,TV035_025,Chaudière standard ou classique,Jusqu'en 1990,Haute,Autres émetteurs,Avant 1981,59.0
25,TV035_026,Chaudière standard ou classique,Jusqu'en 1990,Haute,Autres émetteurs,Entre 1981 et 2000,56.0
26,TV035_027,Chaudière standard ou classique,Jusqu'en 1990,Haute,Autres émetteurs,Après 2000,56.0
27,TV035_028,Chaudière standard ou classique,Depuis 1991,Basse,Plancher basse température,Avant 1981,49.5
28,TV035_029,Chaudière standard ou classique,Depuis 1991,Basse,Plancher basse température,Entre 1981 et 2000,45.0
29,TV035_030,Chaudière standard ou classique,Depuis 1991,Basse,Plancher basse température,Après 2000,45.0
30,TV035_031,Chaudière standard ou classique,Depuis 1991,Moyenne,Radiateur à chaleur douce,Avant 1981,55.5
31,TV035_032,Chaudière standard ou classique,Depuis 1991,Moyenne,Radiateur à chaleur douce,Entre 1981 et 2000,52.5
32,TV035_033,Chaudière standard ou classique,Depuis 1991,Moyenne,Radiateur à chaleur douce,Après 2000,49.5
33,TV035_034,Chaudière standard ou classique,Depuis 1991,Haute,Autres émetteurs,Avant 1981,55.5
34,TV035_035,Chaudière standard ou classique,Depuis 1991,Haute,Autres émetteurs,Entre 1981 et 2000,52.5
35,TV035_036,Chaudière standard ou classique,Depuis 1991,Haute,Autres émetteurs,Après 2000,52.5
