"id","code","tv016_departement_id","tv019_fecs_type_installation_id","tv019_fecs_anciennete_installation_id","fecs","est_efface"
"251","TV019_251","58","2","NULL","89.00","0"
"252","TV019_252","59","2","NULL","86.00","0"
"253","TV019_253","60","2","NULL","87.00","0"
"254","TV019_254","61","2","NULL","89.00","0"
"255","TV019_255","62","2","NULL","86.00","0"
"256","TV019_256","63","2","NULL","91.00","0"
"257","TV019_257","64","2","NULL","98.00","0"
"258","TV019_258","65","2","NULL","94.00","0"
"259","TV019_259","66","2","NULL","99.00","0"
"260","TV019_260","67","2","NULL","86.00","0"
"261","TV019_261","68","2","NULL","88.00","0"
"262","TV019_262","69","2","NULL","90.00","0"
"263","TV019_263","70","2","NULL","89.00","0"
"264","TV019_264","71","2","NULL","89.00","0"
"265","TV019_265","72","2","NULL","89.00","0"
"266","TV019_266","73","2","NULL","92.00","0"
"267","TV019_267","74","2","NULL","89.00","0"
"268","TV019_268","75","2","NULL","87.00","0"
"269","TV019_269","76","2","NULL","87.00","0"
"270","TV019_270","77","2","NULL","87.00","0"
"271","TV019_271","78","2","NULL","87.00","0"
"272","TV019_272","79","2","NULL","99.00","0"
"273","TV019_273","80","2","NULL","87.00","0"
"274","TV019_274","81","2","NULL","94.00","0"
"275","TV019_275","82","2","NULL","94.00","0"
"276","TV019_276","83","2","NULL","100.00","0"
"277","TV019_277","84","2","NULL","96.00","0"
"278","TV019_278","85","2","NULL","92.00","0"
"279","TV019_279","86","2","NULL","91.00","0"
"280","TV019_280","87","2","NULL","91.00","0"
"281","TV019_281","88","2","NULL","88.00","0"
"282","TV019_282","89","2","NULL","89.00","0"
"283","TV019_283","90","2","NULL","88.00","0"
"284","TV019_284","91","2","NULL","87.00","0"
"285","TV019_285","92","2","NULL","87.00","0"
"286","TV019_286","93","2","NULL","87.00","0"
"287","TV019_287","94","2","NULL","87.00","0"
"288","TV019_288","95","2","NULL","87.00","0"
"289","TV019_289","1","3","1","42.00","0"
"290","TV019_290","2","3","1","38.00","0"
"291","TV019_291","3","3","1","45.00","0"
"292","TV019_292","4","3","1","58.00","0"
"293","TV019_293","5","3","1","60.00","0"
"294","TV019_294","6","3","1","59.00","0"
"295","TV019_295","7","3","1","58.00","0"
"296","TV019_296","8","3","1","38.00","0"
"297","TV019_297","9","3","1","50.00","0"
"298","TV019_298","10","3","1","40.00","0"
"299","TV019_299","11","3","1","50.00","0"
"300","TV019_300","12","3","1","49.00","0"
"301","TV019_301","13","3","1","62.00","0"
"302","TV019_302","14","3","1","40.00","0"
"303","TV019_303","15","3","1","47.00","0"
"304","TV019_304","16","3","1","51.00","0"
"305","TV019_305","17","3","1","51.00","0"
"306","TV019_306","18","3","1","42.00","0"
"307","TV019_307","19","3","1","46.00","0"
"308","TV019_308","21","3","1","42.00","0"
"309","TV019_309","22","3","1","41.00","0"
"310","TV019_310","23","3","1","46.00","0"
"311","TV019_311","24","3","1","49.00","0"
"312","TV019_312","25","3","1","41.00","0"
"313","TV019_313","26","3","1","58.00","0"
"314","TV019_314","27","3","1","38.00","0"
"315","TV019_315","28","3","1","42.00","0"
"316","TV019_316","29","3","1","40.00","0"
"317","TV019_317","96","3","1","60.00","0"
"318","TV019_318","97","3","1","60.00","0"
"319","TV019_319","30","3","1","58.00","0"
"320","TV019_320","31","3","1","51.00","0"
"321","TV019_321","32","3","1","51.00","0"
"322","TV019_322","33","3","1","49.00","0"
"323","TV019_323","34","3","1","57.00","0"
"324","TV019_324","35","3","1","41.00","0"
"325","TV019_325","36","3","1","42.00","0"
"326","TV019_326","37","3","1","47.00","0"
"327","TV019_327","38","3","1","44.00","0"
"328","TV019_328","39","3","1","41.00","0"
"329","TV019_329","40","3","1","49.00","0"
"330","TV019_330","41","3","1","47.00","0"
"331","TV019_331","42","3","1","43.00","0"
"332","TV019_332","43","3","1","47.00","0"
"333","TV019_333","44","3","1","45.00","0"
"334","TV019_334","45","3","1","42.00","0"
"335","TV019_335","46","3","1","48.00","0"
"336","TV019_336","47","3","1","49.00","0"
"337","TV019_337","48","3","1","49.00","0"
"338","TV019_338","49","3","1","45.00","0"
"339","TV019_339","50","3","1","40.00","0"
"340","TV019_340","51","3","1","40.00","0"
"341","TV019_341","52","3","1","40.00","0"
"342","TV019_342","53","3","1","41.00","0"
"343","TV019_343","54","3","1","39.00","0"
"344","TV019_344","55","3","1","40.00","0"
"345","TV019_345","56","3","1","41.00","0"
"346","TV019_346","57","3","1","38.00","0"
"347","TV019_347","58","3","1","42.00","0"
"348","TV019_348","59","3","1","36.00","0"
"349","TV019_349","60","3","1","38.00","0"
"350","TV019_350","61","3","1","40.00","0"
"351","TV019_351","62","3","1","36.00","0"
"352","TV019_352","63","3","1","45.00","0"
"353","TV019_353","64","3","1","49.00","0"
"354","TV019_354","65","3","1","51.00","0"
"355","TV019_355","66","3","1","58.00","0"
"356","TV019_356","67","3","1","38.00","0"
"357","TV019_357","68","3","1","38.00","0"
"358","TV019_358","69","3","1","43.00","0"
"359","TV019_359","70","3","1","41.00","0"
"360","TV019_360","71","3","1","43.00","0"
"361","TV019_361","72","3","1","46.00","0"
"362","TV019_362","73","3","1","43.00","0"
"363","TV019_363","74","3","1","42.00","0"
"364","TV019_364","75","3","1","38.00","0"
"365","TV019_365","76","3","1","38.00","0"
"366","TV019_366","77","3","1","38.00","0"
"367","TV019_367","78","3","1","38.00","0"
"368","TV019_368","79","3","1","51.00","0"
"369","TV019_369","80","3","1","37.00","0"
"370","TV019_370","81","3","1","51.00","0"
"371","TV019_371","82","3","1","51.00","0"
"372","TV019_372","83","3","1","62.00","0"
"373","TV019_373","84","3","1","58.00","0"
"374","TV019_374","85","3","1","45.00","0"
"375","TV019_375","86","3","1","48.00","0"
"376","TV019_376","87","3","1","46.00","0"
"377","TV019_377","88","3","1","40.00","0"
"378","TV019_378","89","3","1","43.00","0"
"379","TV019_379","90","3","1","38.00","0"
"380","TV019_380","91","3","1","38.00","0"
"381","TV019_381","92","3","1","38.00","0"
"382","TV019_382","93","3","1","38.00","0"
"383","TV019_383","94","3","1","38.00","0"
"384","TV019_384","95","3","1","38.00","0"
"385","TV019_385","1","3","2","42.00","0"
"386","TV019_386","2","3","2","38.00","0"
"387","TV019_387","3","3","2","45.00","0"
"388","TV019_388","4","3","2","58.00","0"
"389","TV019_389","5","3","2","60.00","0"
"390","TV019_390","6","3","2","59.00","0"
"391","TV019_391","7","3","2","58.00","0"
"392","TV019_392","8","3","2","38.00","0"
"393","TV019_393","9","3","2","50.00","0"
"394","TV019_394","10","3","2","40.00","0"
"395","TV019_395","11","3","2","50.00","0"
"396","TV019_396","12","3","2","49.00","0"
"397","TV019_397","13","3","2","62.00","0"
"398","TV019_398","14","3","2","40.00","0"
"399","TV019_399","15","3","2","47.00","0"
"400","TV019_400","16","3","2","51.00","0"
"401","TV019_401","17","3","2","51.00","0"
"402","TV019_402","18","3","2","42.00","0"
"403","TV019_403","19","3","2","46.00","0"
"404","TV019_404","21","3","2","42.00","0"
"405","TV019_405","22","3","2","41.00","0"
"406","TV019_406","23","3","2","46.00","0"
"407","TV019_407","24","3","2","49.00","0"
"408","TV019_408","25","3","2","41.00","0"
"409","TV019_409","26","3","2","58.00","0"
"410","TV019_410","27","3","2","38.00","0"
"411","TV019_411","28","3","2","42.00","0"
"412","TV019_412","29","3","2","40.00","0"
"413","TV019_413","96","3","2","60.00","0"
"414","TV019_414","97","3","2","60.00","0"
"415","TV019_415","30","3","2","58.00","0"
"416","TV019_416","31","3","2","51.00","0"
"417","TV019_417","32","3","2","51.00","0"
"418","TV019_418","33","3","2","49.00","0"
"419","TV019_419","34","3","2","57.00","0"
"420","TV019_420","35","3","2","41.00","0"
"421","TV019_421","36","3","2","42.00","0"
"422","TV019_422","37","3","2","47.00","0"
"423","TV019_423","38","3","2","44.00","0"
"424","TV019_424","39","3","2","41.00","0"
"425","TV019_425","40","3","2","49.00","0"
"426","TV019_426","41","3","2","47.00","0"
"427","TV019_427","42","3","2","43.00","0"
"428","TV019_428","43","3","2","47.00","0"
"429","TV019_429","44","3","2","45.00","0"
"430","TV019_430","45","3","2","42.00","0"
"431","TV019_431","46","3","2","48.00","0"
"432","TV019_432","47","3","2","49.00","0"
"433","TV019_433","48","3","2","49.00","0"
"434","TV019_434","49","3","2","45.00","0"
"435","TV019_435","50","3","2","40.00","0"
"436","TV019_436","51","3","2","40.00","0"
"437","TV019_437","52","3","2","40.00","0"
"438","TV019_438","53","3","2","41.00","0"
"439","TV019_439","54","3","2","39.00","0"
"440","TV019_440","55","3","2","40.00","0"
"441","TV019_441","56","3","2","41.00","0"
"442","TV019_442","57","3","2","38.00","0"
"443","TV019_443","58","3","2","42.00","0"
"444","TV019_444","59","3","2","36.00","0"
"445","TV019_445","60","3","2","38.00","0"
"446","TV019_446","61","3","2","40.00","0"
"447","TV019_447","62","3","2","36.00","0"
"448","TV019_448","63","3","2","45.00","0"
"449","TV019_449","64","3","2","49.00","0"
"450","TV019_450","65","3","2","51.00","0"
"451","TV019_451","66","3","2","58.00","0"
"452","TV019_452","67","3","2","38.00","0"
"453","TV019_453","68","3","2","38.00","0"
"454","TV019_454","69","3","2","43.00","0"
"455","TV019_455","70","3","2","41.00","0"
"456","TV019_456","71","3","2","43.00","0"
"457","TV019_457","72","3","2","46.00","0"
"458","TV019_458","73","3","2","43.00","0"
"459","TV019_459","74","3","2","42.00","0"
"460","TV019_460","75","3","2","38.00","0"
"461","TV019_461","76","3","2","38.00","0"
"462","TV019_462","77","3","2","38.00","0"
"463","TV019_463","78","3","2","38.00","0"
"464","TV019_464","79","3","2","51.00","0"
"465","TV019_465","80","3","2","37.00","0"
"466","TV019_466","81","3","2","51.00","0"
"467","TV019_467","82","3","2","51.00","0"
"468","TV019_468","83","3","2","62.00","0"
"469","TV019_469","84","3","2","58.00","0"
"470","TV019_470","85","3","2","45.00","0"
"471","TV019_471","86","3","2","48.00","0"
"472","TV019_472","87","3","2","46.00","0"
"473","TV019_473","88","3","2","40.00","0"
"474","TV019_474","89","3","2","43.00","0"
"475","TV019_475","90","3","2","38.00","0"
"476","TV019_476","91","3","2","38.00","0"
"477","TV019_477","92","3","2","38.00","0"
"478","TV019_478","93","3","2","38.00","0"
"479","TV019_479","94","3","2","38.00","0"
"480","TV019_480","95","3","2","38.00","0"
