,Code,Hauteur α (°),Orientation,Fe2
0,TV023_001,Absence de masque,,1.0
1,TV023_002,< 15,,1.0
2,TV023_003,15 ≤… < 30,Sud,0.8
3,TV023_004,15 ≤… < 30,Est ou Ouest,0.77
4,TV023_005,15 ≤… < 30,Nord,0.82
5,TV023_006,30 ≤… < 60,Sud,0.3
6,TV023_007,30 ≤… < 60,Est ou Ouest,0.4
7,TV023_008,30 ≤… < 60,Nord,0.5
8,TV023_009,60 ≤… < 90,Sud,0.1
9,TV023_010,60 ≤… < 90,Est ou Ouest,0.2
10,TV023_011,60 ≤… < 90,Nord,0.3
