,Code,Département,Nom du Réseau,Localisation,Type de production,CO2,Date d'effectivité
0,TV046_001,1,La Reyssouze,Bourg-en-Bresse,C,0.161,2013-01-01
1,TV046_002,1,La Forge,Oyonnax,C,0.2,2013-01-01
2,TV046_003,1,La Plaine (HLM),Oyonnax,C,0.21,2013-01-01
3,TV046_004,2,ZUP du quartier Europe,Saint-Quentin,C,0.241,2013-01-01
4,TV046_005,2,ZUP de Presles,Soissons,C,0.23,2013-01-01
5,TV046_006,2,Réseau de Laon,Laon,C,0.024,2013-01-01
6,TV046_007,3,Réseau de Moulins,Moulins,C,0.276,2013-01-01
7,TV046_008,3,Fontbouillant,Montluçon,C,0.071,2013-01-01
8,TV046_009,3,Meaulne,Meaulne,C,0.011,2013-01-01
9,TV046_010,4,RCU Manosque ZAC Chanteprunier,Manosque,C,0.151,2013-01-01
10,TV046_011,5,Réseau bois Delaroche,Embrun,C,0.0,2013-01-01
11,TV046_012,6,Sonitherm ― Réseau de l’Ariane,Nice,C,0.006,2013-01-01
12,TV046_013,6,Saint-Augustin (HLM),Nice,C,0.192,2013-01-01
13,TV046_014,7,Réseau d’Aubenas,Aubenas,C,0.132,2013-01-01
14,TV046_015,8,La Houllière,Charleville-Mézières,C,0.224,2013-01-01
15,TV046_016,8,La Citadelle,Charleville-Mézières,C,0.222,2013-01-01
16,TV046_017,8,ZUP de Sedan,Sedan,C,0.151,2013-01-01
17,TV046_018,8,Revin,Revin,C,0.065,2013-01-01
18,TV046_019,8,Réseau de Rocroi,Rocroi,C,0.295,2013-01-01
19,TV046_020,10,ZUP de La Chapelle-Saint-Luc,Les Noës,C,0.224,2013-01-01
20,TV046_021,10,Les Chartreux,Troyes,C,0.189,2013-01-01
21,TV046_022,11,ZAC Saint-Jean et Saint-Pierre,Narbonne,C,0.116,2013-01-01
22,TV046_023,12,Cransac-les-Thermes,Cransac-les-Thermes,C,0.042,2013-01-01
23,TV046_024,13,ZAC des Canourgues,Salon-de-Provence,C,0.217,2013-01-01
24,TV046_025,13,ZAC Paradis-Saint-Roch,Martigues,C,0.251,2013-01-01
25,TV046_026,13,ZAC Canto Perdrix,Martigues,C,0.221,2013-01-01
26,TV046_027,13,Centre urbain-ZAC des Pins,Vitrolles,C,0.213,2013-01-01
27,TV046_028,13,Les Fenouillères,Aix-en-Provence,C,0.248,2013-01-01
28,TV046_029,13,ZUP d’Encagnane,Aix-en-Provence,C,0.229,2013-01-01
29,TV046_030,14,Hérouville-Saint-Clair,Hérouville-Saint-Clair,C,0.044,2013-01-01
30,TV046_031,14,ZUP de Hauteville,Lisieux,C,0.009,2013-01-01
31,TV046_032,14,ZAC de Falaise,Falaise,C,0.04,2013-01-01
32,TV046_033,14,La Guérinière,Caen,C,0.18,2013-01-01
33,TV046_034,14,Réseau de bois I,Bayeux,C,0.069,2013-01-01
34,TV046_035,17,Villeneuve les Salines,La Rochelle,C,0.087,2013-01-01
35,TV046_036,17,Réseau de Jonzac,Jonzac,C,0.106,2013-01-01
36,TV046_037,17,ZUP de Mireuil,La Rochelle,C,0.088,2013-01-01
37,TV046_038,17,Réseau de Pons,Pons,C,0.246,2013-01-01
38,TV046_039,17,Réseau des Fouriers,Rochefort,C,0.001,2013-01-01
39,TV046_040,18,Chancellerie Gibjoncs-ZUP de Bourges,Asnières-lès-Bourges,C,0.077,2013-01-01
40,TV046_041,18,ZUP du Clos du Roy,Vierzon,C,0.307,2013-01-01
41,TV046_042,19,Réseau UIOM Brive,Saint-Pantaléon-de-Larche,C,0.0,2013-01-01
42,TV046_043,19,Egletons Bois Energie,Egletons,C,0.048,2013-01-01
43,TV046_044,20,Réseau de Corte,Corte,C,0.022,2013-01-01
44,TV046_045,21,La Fontaine d’Ouche,Dijon,C,0.248,2013-01-01
45,TV046_046,21,ZUP de Chenove,Chenove,C,0.293,2013-01-01
46,TV046_047,21,Réseau de Quetigny,Quetigny,C,0.153,2013-01-01
47,TV046_048,21,Les Gresilles,Dijon,C,0.222,2013-01-01
48,TV046_049,23,Réseau de Bourganeuf,Bourganeuf,C,0.15,2013-01-01
49,TV046_050,23,Réseau de Felletin,Felletin,C,0.0,2013-01-01
50,TV046_051,25,Besançon-Planoise,Besançon,C,0.156,2013-01-01
51,TV046_052,25,ZUP de la Petite Hollande,Montbéliard,C,0.072,2013-01-01
52,TV046_053,25,Champvalon,Béthoncourt,C,0.221,2013-01-01
53,TV046_054,25,Chaufferie Bois du Russey,Le Russey,C,0.053,2013-01-01
54,TV046_055,25,Champs Montants,Audincourt,C,0.127,2013-01-01
55,TV046_056,25,Domaine universitaire de la Bouloie,Besançon,C,0.051,2013-01-01
56,TV046_057,25,Réseau de Mouthe,Mouthe,C,0.089,2013-01-01
57,TV046_058,26,Réseau de la ZUP de Valence,Valence,C,0.283,2013-01-01
58,TV046_059,26,Réseau de Pierrelatte Des,Pierrelatte,C,0.013,2013-01-01
59,TV046_060,26,Réseau Pracomptal,Montélimar,C,0.197,2013-01-01
60,TV046_061,27,ZUP de Saint-André,Evreux,C,0.264,2013-01-01
61,TV046_062,27,ZAC des Maisons Rouges,Louvriers,C,0.252,2013-01-01
62,TV046_063,27,Quartier de l’Europe,Pont-Audemer,C,0.251,2013-01-01
63,TV046_064,27,Tours du Levant Clos Galots,Les Andelys,C,0.262,2013-01-01
64,TV046_065,27,ZUP Les Valmeux,Vernon,C,0.252,2013-01-01
65,TV046_066,28,ZUP de la Madeleine,Chartres,C,0.245,2013-01-01
66,TV046_067,28,Les Gauchetières,Nogent-le-Rotrou,C,0.237,2013-01-01
67,TV046_068,29,Réseau de Brest,Brest,C,0.041,2013-01-01
68,TV046_069,29,Réseau de Plougastel-Daoulas,Plougastel-Daoulas,C,0.049,2013-01-01
69,TV046_070,30,Quartier Ouest,Nîmes,C,0.219,2013-01-01
70,TV046_071,30,Centre-ville Alès,Alès,C,0.228,2013-01-01
71,TV046_072,31,Réseau de Toulouse (UIOM),Toulouse,C,0.0,2013-01-01
72,TV046_073,31,ZAC du Ritouret,Blagnac,C,0.149,2013-01-01
73,TV046_074,31,CSU Rangueil,Toulouse,C,0.205,2013-01-01
74,TV046_075,33,Parc de Mérignac Ville Stemer,Mérignac,C,0.22,2013-01-01
75,TV046_076,33,Hauts de Garonne,"Cenon, Lormont, Floirac",C,0.043,2013-01-01
76,TV046_077,33,Puis de Gueyrosse,Libourne,C,0.155,2013-01-01
77,TV046_078,33,La Benauge-Cité Pinçon,Bordeaux,C,0.195,2013-01-01
78,TV046_079,34,Polygone Antigone,Montpellier,C,0.239,2013-01-01
79,TV046_080,34,Polygone Antigone,Montpellier,F,0.196,2013-01-01
80,TV046_081,34,Ernest Granier,Montpellier,C,0.236,2013-01-01
81,TV046_082,34,Ernest Granier,Montpellier,F,0.21,2013-01-01
82,TV046_083,34,Port Marianne,Montpellier,C,0.129,2013-01-01
83,TV046_084,34,Port Marianne,Montpellier,F,0.013,2013-01-01
84,TV046_085,34,Réseau des universités,Montpellier,C,0.018,2013-01-01
85,TV046_086,34,Réseau Arches Jacques Cœur,Montpellier,C,0.195,2013-01-01
86,TV046_087,34,Réseau Arches Jacques Cœur,Montpellier,C,0.013,2013-01-01
87,TV046_088,34,Parc Marianne,Montpellier,C,0.269,2013-01-01
88,TV046_089,35,Villejean-Beauregard,Rennes,C,0.058,2013-01-01
89,TV046_090,35,Sarah Bernhardt,Rennes,C,0.192,2013-01-01
90,TV046_091,35,Campus scientifique de Beaulieu,Rennes,C,0.192,2013-01-01
91,TV046_092,35,Quartier Sud,Rennes,C,0.243,2013-01-01
92,TV046_093,36,Géothermie du quartier Saint-Jean,Châteauroux,C,0.279,2013-01-01
93,TV046_094,37,Morier et Rabière,Joué-lès-Tours,C,0.219,2013-01-01
94,TV046_095,37,ZUP des Bords de Cher,Tours,C,0.228,2013-01-01
95,TV046_096,37,Sanitas,Tours,C,0.259,2013-01-01
96,TV046_097,37,Quartier Chateaubriand,Tours,C,0.206,2013-01-01
97,TV046_098,37,La Rabaterie,Saint-Pierre-des-Corps,C,0.257,2013-01-01
98,TV046_099,37,Réseau UIOM Chinon,Saint-Pierre-des-Corps,C,0.0,2013-01-01
99,TV046_100,37,Réseau de la Riche-Quartier,La Riche,C,0.23,2013-01-01
100,TV046_101,38,Compagnie de chauffage de Grenoble,Grenoble,C,0.137,2013-01-01
